#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
0.53339962 0.91445971 0.00068246
0.53338557 0.91445971 0.00068443
0.53003467 0.91445971 0.00115247
0.53002061 0.91445971 0.00115442
0.52666963 0.91445971 0.00161946
0.52665557 0.91445971 0.00162140
0.52330564 0.91445971 0.00208246
0.52329158 0.91445971 0.00208438
0.51994163 0.91445971 0.00254146
0.51992758 0.91445971 0.00254337
0.51657766 0.91445971 0.00299746
0.51656360 0.91445971 0.00299936
0.51321467 0.91445971 0.00345047
0.51320062 0.91445971 0.00345234
0.50985263 0.91445971 0.00389846
0.50983857 0.91445971 0.00390033
0.50649168 0.91445971 0.00434447
0.50647763 0.91445971 0.00434631
0.50313162 0.91445971 0.00478546
0.50311757 0.91445971 0.00478730
0.49977263 0.91445971 0.00522446
0.49975861 0.91445971 0.00522628
0.49641565 0.91445971 0.00565946
0.49640163 0.91445971 0.00566127
0.49305963 0.91445971 0.00609046
0.49304562 0.91445971 0.00609225
0.48970464 0.91445971 0.00651846
0.48969062 0.91445971 0.00652024
0.48635164 0.91445971 0.00694346
0.48633763 0.91445971 0.00694523
0.48300164 0.91445971 0.00736546
0.48298765 0.91445971 0.00736721
0.47965263 0.91445971 0.00778346
0.47963864 0.91445971 0.00778520
0.47630562 0.91445971 0.00819846
0.47629164 0.91445971 0.00820018
0.47296164 0.91445971 0.00860946
0.47294766 0.91445971 0.00861117
0.46961963 0.91445971 0.00901746
0.46960568 0.91445971 0.00901916
0.46627966 0.91445971 0.00942246
0.46626571 0.91445971 0.00942414
0.46294261 0.91445971 0.00982446
0.46292869 0.91445971 0.00982613
0.45960864 0.91445971 0.01022346
0.45959472 0.91445971 0.01022511
0.45627764 0.91445971 0.01061846
0.45626373 0.91445971 0.01062010
0.45294963 0.91445971 0.01101046
0.45293574 0.91445971 0.01101209
0.44962562 0.91445971 0.01139946
0.44961174 0.91445971 0.01140107
0.44630363 0.91445971 0.01178446
0.44628977 0.91445971 0.01178606
0.44298565 0.91445971 0.01216746
0.44297180 0.91445971 0.01216905
