#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                1mm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_1mm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
0.53339962 0.91433293 0.00068246
0.53005048 0.91433293 0.00115026
0.53003467 0.91433293 0.00115247
0.52668543 0.91433293 0.00161727
0.52666963 0.91433293 0.00161946
0.52332145 0.91433293 0.00208029
0.52330564 0.91433293 0.00208246
0.51995744 0.91433293 0.00253931
0.51994163 0.91433293 0.00254146
0.51659346 0.91433293 0.00299532
0.51657766 0.91433293 0.00299746
0.51323047 0.91433293 0.00344834
0.51321467 0.91433293 0.00345047
0.50986843 0.91433293 0.00389636
0.50985263 0.91433293 0.00389846
0.50650748 0.91433293 0.00434237
0.50649168 0.91433293 0.00434447
0.50314742 0.91433293 0.00478340
0.50313162 0.91433293 0.00478546
0.49978840 0.91433293 0.00522240
0.49977263 0.91433293 0.00522446
0.49643142 0.91433293 0.00565742
0.49641565 0.91433293 0.00565946
0.49307540 0.91433293 0.00608844
0.49305963 0.91433293 0.00609046
0.48972037 0.91433293 0.00651645
0.48970464 0.91433293 0.00651846
0.48636738 0.91433293 0.00694147
0.48635164 0.91433293 0.00694346
0.48301737 0.91433293 0.00736348
0.48300164 0.91433293 0.00736546
0.47966836 0.91433293 0.00778150
0.47965263 0.91433293 0.00778346
0.47632132 0.91433293 0.00819651
0.47630562 0.91433293 0.00819846
0.47297734 0.91433293 0.00860754
0.47296164 0.91433293 0.00860946
0.46963533 0.91433293 0.00901555
0.46961963 0.91433293 0.00901746
0.46629533 0.91433293 0.00942056
0.46627966 0.91433293 0.00942246
0.46295828 0.91433293 0.00982258
0.46294261 0.91433293 0.00982446
0.45962428 0.91433293 0.01022159
0.45960864 0.91433293 0.01022346
0.45629328 0.91433293 0.01061661
0.45627764 0.91433293 0.01061846
0.45296526 0.91433293 0.01100862
0.45294963 0.91433293 0.01101046
0.44964123 0.91433293 0.01139764
0.44962562 0.91433293 0.01139946
0.44631923 0.91433293 0.01178266
0.44630363 0.91433293 0.01178446
0.44300123 0.91433293 0.01216567
0.44298565 0.91433293 0.01216746
0.43968721 0.91433293 0.01254469
0.43967164 0.91433293 0.01254646
0.43637618 0.91433293 0.01292070
0.43636064 0.91433293 0.01292246
0.43306918 0.91433293 0.01329371
0.43305364 0.91433293 0.01329546
0.42976616 0.91433293 0.01366373
0.42975065 0.91433293 0.01366546
0.42646810 0.91433293 0.01402974
0.42645263 0.91433293 0.01403146
0.42317309 0.91433293 0.01439375
0.42315761 0.91433293 0.01439546
0.41988307 0.91433293 0.01475377
0.41986763 0.91433293 0.01475546
0.41659805 0.91433293 0.01511079
0.41658264 0.91433293 0.01511246
0.41331706 0.91433293 0.01546480
0.41330165 0.91433293 0.01546646
0.41004104 0.91433293 0.01581482
0.41002566 0.91433293 0.01581646
0.40676998 0.91433293 0.01616183
0.40675463 0.91433293 0.01616346
0.40350300 0.91433293 0.01650684
0.40348765 0.91433293 0.01650846
0.40024198 0.91433293 0.01684786
0.40022666 0.91433293 0.01684946
0.39698691 0.91433293 0.01718488
0.39697162 0.91433293 0.01718646
0.39373590 0.91433293 0.01751989
0.39372064 0.91433293 0.01752146
0.39049186 0.91433293 0.01785091
0.39047663 0.91433293 0.01785246
0.38725284 0.91433293 0.01817892
0.38723764 0.91433293 0.01818046
0.38401982 0.91433293 0.01850394
0.38400466 0.91433293 0.01850547
0.38079180 0.91433293 0.01882496
0.38077664 0.91433293 0.01882646
0.37757077 0.91433293 0.01914397
0.37755564 0.91433293 0.01914546
0.37435575 0.91433293 0.01945899
0.37434065 0.91433293 0.01946046
0.37114770 0.91433293 0.01977000
0.37113263 0.91433293 0.01977146
0.36794467 0.91433293 0.02007901
0.36792963 0.91433293 0.02008046
0.36474966 0.91433293 0.02038304
0.36473465 0.91433293 0.02038446
0.36156061 0.91433293 0.02068505
0.36154564 0.91433293 0.02068646
