#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                1mm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_1mm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 265.8 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "5"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
0.53339962 0.91438460 0.00068246
0.53003829 0.91438460 0.00115196
0.53003467 0.91438460 0.00115247
0.52667325 0.91438460 0.00161896
0.52666963 0.91438460 0.00161946
0.52330926 0.91438460 0.00208197
0.52330564 0.91438460 0.00208246
0.51994525 0.91438460 0.00254097
0.51994163 0.91438460 0.00254146
0.51658128 0.91438460 0.00299697
0.51657766 0.91438460 0.00299746
0.51321829 0.91438460 0.00344998
0.51321467 0.91438460 0.00345047
0.50985624 0.91438460 0.00389798
0.50985263 0.91438460 0.00389846
0.50649530 0.91438460 0.00434399
0.50649168 0.91438460 0.00434447
0.50313524 0.91438460 0.00478499
0.50313162 0.91438460 0.00478546
0.49977625 0.91438460 0.00522399
0.49977263 0.91438460 0.00522446
0.49641927 0.91438460 0.00565900
0.49641565 0.91438460 0.00565946
0.49306325 0.91438460 0.00609000
0.49305963 0.91438460 0.00609046
0.48970825 0.91438460 0.00651800
0.48970464 0.91438460 0.00651846
0.48635526 0.91438460 0.00694301
0.48635164 0.91438460 0.00694346
0.48300525 0.91438460 0.00736501
0.48300164 0.91438460 0.00736546
0.47965624 0.91438460 0.00778301
0.47965263 0.91438460 0.00778346
0.47630921 0.91438460 0.00819801
0.47630562 0.91438460 0.00819846
0.47296523 0.91438460 0.00860902
0.47296164 0.91438460 0.00860946
0.46962322 0.91438460 0.00901703
0.46961963 0.91438460 0.00901746
0.46628324 0.91438460 0.00942203
0.46627966 0.91438460 0.00942246
0.46294620 0.91438460 0.00982403
0.46294261 0.91438460 0.00982446
0.45961223 0.91438460 0.01022303
0.45960864 0.91438460 0.01022346
0.45628123 0.91438460 0.01061804
0.45627764 0.91438460 0.01061846
0.45295321 0.91438460 0.01101004
0.45294963 0.91438460 0.01101046
0.44962921 0.91438460 0.01139905
0.44962562 0.91438460 0.01139946
0.44630721 0.91438460 0.01178405
0.44630363 0.91438460 0.01178446
0.44298921 0.91438460 0.01216705
0.44298565 0.91438460 0.01216746
0.43967519 0.91438460 0.01254606
0.43967164 0.91438460 0.01254646
0.43636419 0.91438460 0.01292206
0.43636064 0.91438460 0.01292246
0.43305719 0.91438460 0.01329506
0.43305364 0.91438460 0.01329546
0.42975420 0.91438460 0.01366507
0.42975065 0.91438460 0.01366546
0.42645618 0.91438460 0.01403107
0.42645263 0.91438460 0.01403146
0.42316117 0.91438460 0.01439507
0.42315761 0.91438460 0.01439546
0.41987118 0.91438460 0.01475508
0.41986763 0.91438460 0.01475546
0.41658616 0.91438460 0.01511208
0.41658264 0.91438460 0.01511246
0.41330517 0.91438460 0.01546608
0.41330165 0.91438460 0.01546646
0.41002918 0.91438460 0.01581609
0.41002566 0.91438460 0.01581646
0.40675815 0.91438460 0.01616309
0.40675463 0.91438460 0.01616346
0.40349117 0.91438460 0.01650809
0.40348765 0.91438460 0.01650846
0.40023018 0.91438460 0.01684910
0.40022666 0.91438460 0.01684946
0.39697511 0.91438460 0.01718610
0.39697162 0.91438460 0.01718646
0.39372413 0.91438460 0.01752110
0.39372064 0.91438460 0.01752146
0.39048012 0.91438460 0.01785211
0.39047663 0.91438460 0.01785246
0.38724113 0.91438460 0.01818011
0.38723764 0.91438460 0.01818046
0.38400815 0.91438460 0.01850512
0.38400466 0.91438460 0.01850547
0.38078010 0.91438460 0.01882612
0.38077664 0.91438460 0.01882646
0.37755910 0.91438460 0.01914512
0.37755564 0.91438460 0.01914546
0.37434411 0.91438460 0.01946012
0.37434065 0.91438460 0.01946046
0.37113609 0.91438460 0.01977113
0.37113263 0.91438460 0.01977146
0.36793309 0.91438460 0.02008013
0.36792963 0.91438460 0.02008046
0.36473808 0.91438460 0.02038414
0.36473465 0.91438460 0.02038446
0.36154906 0.91438460 0.02068614
0.36154564 0.91438460 0.02068646
0.35836705 0.91438460 0.02098414
0.35836362 0.91438460 0.02098446
0.35519206 0.91438460 0.02127915
0.35518863 0.91438460 0.02127946
0.35202404 0.91438460 0.02157015
0.35202065 0.91438460 0.02157046
0.34886302 0.91438460 0.02185815
0.34885962 0.91438460 0.02185846
0.34571002 0.91438460 0.02214316
0.34570663 0.91438460 0.02214346
0.34256404 0.91438460 0.02242416
0.34256064 0.91438460 0.02242446
0.33942499 0.91438460 0.02270117
0.33942162 0.91438460 0.02270146
0.33629501 0.91438460 0.02297617
0.33629165 0.91438460 0.02297646
0.33317202 0.91438460 0.02324617
0.33316866 0.91438460 0.02324647
0.33005695 0.91438460 0.02351317
0.33005361 0.91438460 0.02351346
0.32694998 0.91438460 0.02377618
0.32694664 0.91438460 0.02377646
0.32385197 0.91438460 0.02403619
0.32384864 0.91438460 0.02403646
0.32076196 0.91438460 0.02429219
0.32075862 0.91438460 0.02429246
0.31767993 0.91438460 0.02454419
0.31767662 0.91438460 0.02454446
0.31460695 0.91438460 0.02479320
0.31460364 0.91438460 0.02479346
0.31154193 0.91438460 0.02503820
0.31153862 0.91438460 0.02503846
0.30848690 0.91438460 0.02527920
0.30848362 0.91438460 0.02527946
0.30543991 0.91438460 0.02551721
0.30543663 0.91438460 0.02551746
0.30240291 0.91438460 0.02575021
0.30239964 0.91438460 0.02575046
0.29937389 0.91438460 0.02598022
0.29937065 0.91438460 0.02598047
0.29635487 0.91438460 0.02620622
0.29635162 0.91438460 0.02620646
0.29334589 0.91438460 0.02642823
0.29334264 0.91438460 0.02642846
0.29034484 0.91438460 0.02664623
0.29034162 0.91438460 0.02664646
0.28735484 0.91438460 0.02686123
0.28735163 0.91438460 0.02686146
0.28437383 0.91438460 0.02707124
0.28437061 0.91438460 0.02707146
0.28140382 0.91438460 0.02727724
0.28140064 0.91438460 0.02727746
0.27844280 0.91438460 0.02748024
0.27843962 0.91438460 0.02748046
0.27549280 0.91438460 0.02767825
0.27548962 0.91438460 0.02767846
0.27255178 0.91438460 0.02787225
0.27254862 0.91438460 0.02787246
0.26962178 0.91438460 0.02806226
0.26961863 0.91438460 0.02806247
0.26670280 0.91438460 0.02824826
0.26669965 0.91438460 0.02824846
0.26379374 0.91438460 0.02843027
0.26379062 0.91438460 0.02843046
0.26089575 0.91438460 0.02860827
0.26089263 0.91438460 0.02860846
0.25800874 0.91438460 0.02878128
0.25800565 0.91438460 0.02878146
0.25513270 0.91438460 0.02895028
0.25512961 0.91438460 0.02895046
0.25226774 0.91438460 0.02911529
0.25226465 0.91438460 0.02911546
0.24941368 0.91438460 0.02927629
0.24941062 0.91438460 0.02927646
0.24657069 0.91438460 0.02943230
0.24656763 0.91438460 0.02943246
0.24373967 0.91438460 0.02958430
0.24373663 0.91438460 0.02958446
0.24091966 0.91438460 0.02973230
0.24091663 0.91438460 0.02973246
0.23811165 0.91438460 0.02987531
0.23810863 0.91438460 0.02987546
0.23531564 0.91438460 0.03001431
0.23531263 0.91438460 0.03001446
0.23253064 0.91438460 0.03014832
0.23252764 0.91438460 0.03014846
0.22975862 0.91438460 0.03027832
0.22975564 0.91438460 0.03027846
0.22699761 0.91438460 0.03040433
0.22699464 0.91438460 0.03040446
0.22424957 0.91438460 0.03052533
0.22424662 0.91438460 0.03052546
0.22151358 0.91438460 0.03064134
0.22151065 0.91438460 0.03064146
0.21878957 0.91438460 0.03075334
0.21878663 0.91438460 0.03075346
0.21607855 0.91438460 0.03086035
0.21607563 0.91438460 0.03086046
0.21338054 0.91438460 0.03096335
0.21337764 0.91438460 0.03096346
0.21069452 0.91438460 0.03106136
0.21069163 0.91438460 0.03106146
0.20802252 0.91438460 0.03115437
0.20801964 0.91438460 0.03115447
0.20536249 0.91438460 0.03124337
0.20535963 0.91438460 0.03124346
0.20271548 0.91438460 0.03132737
0.20271263 0.91438460 0.03132746
0.20008145 0.91438460 0.03140638
0.20007862 0.91438460 0.03140647
0.19746144 0.91438460 0.03148038
0.19745863 0.91438460 0.03148046
0.19485443 0.91438460 0.03155039
0.19485163 0.91438460 0.03155046
0.19226141 0.91438460 0.03161539
0.19225863 0.91438460 0.03161547
0.18968141 0.91438460 0.03167640
0.18967864 0.91438460 0.03167646
0.18711441 0.91438460 0.03173140
0.18711164 0.91438460 0.03173146
0.18456238 0.91438460 0.03178241
0.18455964 0.91438460 0.03178246
0.18202338 0.91438460 0.03182841
0.18202064 0.91438460 0.03182846
0.17949937 0.91438460 0.03186942
0.17949665 0.91438460 0.03186946
0.17698834 0.91438460 0.03190543
0.17698564 0.91438460 0.03190546
0.17449233 0.91438460 0.03193743
0.17448963 0.91438460 0.03193746
0.17201031 0.91438460 0.03196344
0.17200763 0.91438460 0.03196346
0.16954229 0.91438460 0.03198544
0.16953963 0.91438460 0.03198546
0.16708929 0.91438460 0.03200244
0.16708664 0.91438460 0.03200246
0.16465027 0.91438460 0.03201445
0.16464764 0.91438460 0.03201446
0.16222623 0.91438460 0.03202145
0.16222363 0.91438460 0.03202146
0.15981722 0.91438460 0.03202346
0.15981463 0.91438460 0.03202346
0.15742320 0.91438460 0.03202146
0.15742063 0.91438460 0.03202146
0.15504319 0.91438460 0.03201347
0.15504064 0.91438460 0.03201346
0.15267917 0.91438460 0.03200048
0.15267663 0.91438460 0.03200046
0.15033016 0.91438460 0.03198348
0.15032764 0.91438460 0.03198346
0.14799614 0.91438460 0.03196149
0.14799363 0.91438460 0.03196146
0.14567813 0.91438460 0.03193449
0.14567564 0.91438460 0.03193446
0.14337412 0.91438460 0.03190250
0.14337164 0.91438460 0.03190246
0.14108709 0.91438460 0.03186550
0.14108463 0.91438460 0.03186546
0.13881509 0.91438460 0.03182351
0.13881264 0.91438460 0.03182346
0.13655907 0.91438460 0.03177652
0.13655664 0.91438460 0.03177647
0.13431805 0.91438460 0.03172452
0.13431564 0.91438460 0.03172446
0.13209302 0.91438460 0.03166852
0.13209063 0.91438460 0.03166847
0.12988502 0.91438460 0.03160753
0.12988265 0.91438460 0.03160746
0.12769198 0.91438460 0.03154054
0.12768963 0.91438460 0.03154046
0.12551598 0.91438460 0.03146954
0.12551364 0.91438460 0.03146946
0.12335596 0.91438460 0.03139355
0.12335364 0.91438460 0.03139346
0.12121194 0.91438460 0.03131355
0.12120963 0.91438460 0.03131346
0.11908392 0.91438460 0.03122756
0.11908163 0.91438460 0.03122746
0.11697290 0.91438460 0.03113756
0.11697063 0.91438460 0.03113746
0.11487889 0.91438460 0.03104256
0.11487664 0.91438460 0.03104246
0.11280087 0.91438460 0.03094257
0.11279864 0.91438460 0.03094246
0.11073985 0.91438460 0.03083758
0.11073763 0.91438460 0.03083746
0.10869583 0.91438460 0.03072758
0.10869364 0.91438460 0.03072746
0.10666782 0.91438460 0.03061359
0.10666564 0.91438460 0.03061346
0.10465781 0.91438460 0.03049459
0.10465564 0.91438460 0.03049446
0.10266478 0.91438460 0.03037159
0.10266264 0.91438460 0.03037146
0.10068876 0.91438460 0.03024360
0.10068663 0.91438460 0.03024346
0.09872974 0.91438460 0.03011061
0.09872764 0.91438460 0.03011046
0.09678772 0.91438460 0.02997261
0.09678563 0.91438460 0.02997246
0.09486370 0.91438460 0.02983062
0.09486163 0.91438460 0.02983046
0.09295668 0.91438460 0.02968362
0.09295463 0.91438460 0.02968346
0.09106767 0.91438460 0.02953263
0.09106564 0.91438460 0.02953247
0.08919565 0.91438460 0.02937663
0.08919364 0.91438460 0.02937646
0.08734163 0.91438460 0.02921664
0.08733963 0.91438460 0.02921647
0.08550561 0.91438460 0.02905164
0.08550364 0.91438460 0.02905146
0.08368759 0.91438460 0.02888265
0.08368563 0.91438460 0.02888246
0.08188657 0.91438460 0.02870965
0.08188463 0.91438460 0.02870946
0.08010455 0.91438460 0.02853165
0.08010263 0.91438460 0.02853146
0.07833953 0.91438460 0.02834866
0.07833763 0.91438460 0.02834847
0.07659351 0.91438460 0.02816166
0.07659163 0.91438460 0.02816146
0.07486550 0.91438460 0.02797067
0.07486364 0.91438460 0.02797046
0.07315547 0.91438460 0.02777568
0.07315363 0.91438460 0.02777547
0.07146345 0.91438460 0.02757668
0.07146163 0.91438460 0.02757646
0.06979043 0.91438460 0.02737268
0.06978863 0.91438460 0.02737246
0.06813541 0.91438460 0.02716469
0.06813364 0.91438460 0.02716446
0.06649939 0.91438460 0.02695269
0.06649763 0.91438460 0.02695246
0.06488137 0.91438460 0.02673670
0.06487963 0.91438460 0.02673646
0.06328235 0.91438460 0.02651670
0.06328064 0.91438460 0.02651646
0.06170233 0.91438460 0.02629270
0.06170063 0.91438460 0.02629246
0.06014031 0.91438460 0.02606471
0.06013863 0.91438460 0.02606446
0.05859729 0.91438460 0.02583271
0.05859563 0.91438460 0.02583246
0.05707328 0.91438460 0.02559672
0.05707163 0.91438460 0.02559646
0.05556925 0.91438460 0.02535672
0.05556763 0.91438460 0.02535646
0.05408323 0.91438460 0.02511273
0.05408163 0.91438460 0.02511246
0.05261621 0.91438460 0.02486573
0.05261464 0.91438460 0.02486546
0.05116819 0.91438460 0.02461374
0.05116663 0.91438460 0.02461346
0.04974017 0.91438460 0.02435874
0.04973863 0.91438460 0.02435846
0.04833015 0.91438460 0.02410074
0.04832863 0.91438460 0.02410046
0.04694113 0.91438460 0.02383874
0.04693963 0.91438460 0.02383846
0.04557011 0.91438460 0.02357275
0.04556863 0.91438460 0.02357246
0.04421909 0.91438460 0.02330275
0.04421763 0.91438460 0.02330246
0.04288707 0.91438460 0.02302976
0.04288563 0.91438460 0.02302946
0.04157504 0.91438460 0.02275376
0.04157364 0.91438460 0.02275346
0.04028203 0.91438460 0.02247376
0.04028064 0.91438460 0.02247346
0.03900900 0.91438460 0.02219077
0.03900763 0.91438460 0.02219046
0.03775598 0.91438460 0.02190377
0.03775464 0.91438460 0.02190346
0.03652296 0.91438460 0.02161377
0.03652164 0.91438460 0.02161346
0.03530894 0.91438460 0.02132078
0.03530763 0.91438460 0.02132046
0.03411492 0.91438460 0.02102478
0.03411364 0.91438460 0.02102446
0.03294090 0.91438460 0.02072479
0.03293964 0.91438460 0.02072446
0.03178588 0.91438460 0.02042279
0.03178463 0.91438460 0.02042246
0.03065186 0.91438460 0.02011679
0.03065064 0.91438460 0.02011646
0.02953783 0.91438460 0.01980779
0.02953663 0.91438460 0.01980746
0.02844381 0.91438460 0.01949580
0.02844263 0.91438460 0.01949546
0.02736979 0.91438460 0.01918080
0.02736863 0.91438460 0.01918046
0.02631577 0.91438460 0.01886380
0.02631464 0.91438460 0.01886346
0.02528175 0.91438460 0.01854281
0.02528063 0.91438460 0.01854246
0.02426872 0.91438460 0.01821881
0.02426763 0.91438460 0.01821846
0.02327470 0.91438460 0.01789281
0.02327363 0.91438460 0.01789246
0.02230168 0.91438460 0.01756382
0.02230063 0.91438460 0.01756346
0.02134966 0.91438460 0.01723182
0.02134863 0.91438460 0.01723146
0.02041664 0.91438460 0.01689782
0.02041564 0.91438460 0.01689746
0.01950561 0.91438460 0.01655983
0.01950463 0.91438460 0.01655946
0.01861359 0.91438460 0.01622083
0.01861263 0.91438460 0.01622046
0.01774257 0.91438460 0.01587783
0.01774164 0.91438460 0.01587746
0.01689255 0.91438460 0.01553283
0.01689163 0.91438460 0.01553246
0.01606253 0.91438460 0.01518583
0.01606163 0.91438460 0.01518546
0.01525350 0.91438460 0.01483584
0.01525263 0.91438460 0.01483546
0.01446448 0.91438460 0.01448384
0.01446363 0.91438460 0.01448346
0.01369646 0.91438460 0.01412885
0.01369564 0.91438460 0.01412846
0.01294944 0.91438460 0.01377185
0.01294863 0.91438460 0.01377147
0.01222241 0.91438460 0.01341287
0.01222163 0.91438460 0.01341248
0.01151735 0.91438460 0.01305094
0.01151659 0.91438460 0.01305055
0.01083214 0.91438460 0.01268729
0.01083140 0.91438460 0.01268690
0.01016623 0.91438460 0.01232285
0.01016551 0.91438460 0.01232246
0.00951924 0.91438460 0.01196058
0.00951854 0.91438460 0.01196019
0.00888032 0.91438460 0.01161645
0.00887964 0.91438460 0.01161608
0.00822522 0.91438460 0.01132602
0.00822452 0.91438460 0.01132571
0.00751187 0.91438460 0.01114960
0.00751111 0.91438460 0.01114941
0.00670917 0.91438460 0.01111198
0.00670830 0.91438460 0.01111194
0.00583330 0.91438460 0.01117303
0.00583236 0.91438460 0.01117309
0.00491098 0.91438460 0.01128004
0.00490999 0.91438460 0.01128015
0.00392234 0.91438460 0.01144634
0.00392128 0.91438460 0.01144652
0.00271720 0.91438460 0.01184157
0.00271590 0.91438460 0.01184200
0.00075632 0.91438460 0.01303669
0.00075421 0.91438460 0.01303797
-0.00330971 0.91438460 0.01635074
-0.00331409 0.91438460 0.01635431
-0.01090311 0.91438460 0.02290310
-0.01091128 0.91438460 0.02291015
-0.01886922 0.91438460 0.02901651
-0.01887778 0.91438460 0.02902309
-0.02197167 0.91438460 0.02978729
-0.02197500 0.91438460 0.02978811
-0.02206762 0.91438460 0.02773800
-0.02206772 0.91438460 0.02773580
-0.02187562 0.91438460 0.02551317
-0.02187542 0.91438460 0.02551078
-0.02167169 0.91438460 0.02336101
-0.02167147 0.91438460 0.02335869
-0.02147967 0.91438460 0.02132676
-0.02147946 0.91438460 0.02132458
-0.02100184 0.91438460 0.01916774
-0.02100132 0.91438460 0.01916542
-0.02000668 0.91438460 0.01681553
-0.02000561 0.91438460 0.01681300
-0.01877278 0.91438460 0.01450681
-0.01877146 0.91438460 0.01450433
-0.01765577 0.91438460 0.01240294
-0.01765457 0.91438460 0.01240068
-0.01674639 0.91438460 0.01053410
-0.01674541 0.91438460 0.01053209
-0.01570677 0.91438460 0.00877751
-0.01570565 0.91438460 0.00877562
-0.01446014 0.91438460 0.00709479
-0.01445880 0.91438460 0.00709298
-0.01335358 0.91438460 0.00558309
-0.01335239 0.91438460 0.00558146
-0.01220028 0.91438460 0.00419786
-0.01219904 0.91438460 0.00419637
-0.01089950 0.91438460 0.00295240
-0.01089810 0.91438460 0.00295106
-0.00979045 0.91438460 0.00184884
-0.00978926 0.91438460 0.00184765
-0.00872747 0.91438460 0.00086954
-0.00872633 0.91438460 0.00086849
-0.00761916 0.91438460 0.00001139
-0.00761797 0.91438460 0.00001046
-0.00674798 0.91438460 -0.00074819
-0.00674704 0.91438460 -0.00074901
-0.00603615 0.91438460 -0.00144673
-0.00603538 0.91438460 -0.00144748
-0.00532140 0.91438460 -0.00207887
-0.00532063 0.91438460 -0.00207954
-0.00458330 0.91438460 -0.00263357
-0.00458251 0.91438460 -0.00263417
-0.00384038 0.91438460 -0.00313447
-0.00383958 0.91438460 -0.00313501
-0.00322369 0.91438460 -0.00361269
-0.00322303 0.91438460 -0.00361321
-0.00266334 0.91438460 -0.00406113
-0.00266274 0.91438460 -0.00406161
-0.00209728 0.91438460 -0.00447215
-0.00209667 0.91438460 -0.00447259
-0.00159265 0.91438460 -0.00488201
-0.00159211 0.91438460 -0.00488245
-0.00110257 0.91438460 -0.00527334
-0.00110204 0.91438460 -0.00527376
-0.00058345 0.91438460 -0.00562617
-0.00058289 0.91438460 -0.00562655
-0.00009381 0.91438460 -0.00597881
-0.00009328 0.91438460 -0.00597919
0.00033588 0.91438460 -0.00635873
0.00033634 0.91438460 -0.00635914
0.00072711 0.91438460 -0.00676193
0.00072753 0.91438460 -0.00676236
0.00108368 0.91438460 -0.00719895
0.00108407 0.91438460 -0.00719942
0.00139285 0.91438460 -0.00768801
0.00139318 0.91438460 -0.00768853
0.00168795 0.91438460 -0.00820896
0.00168826 0.91438460 -0.00820952
0.00200676 0.91438460 -0.00873523
0.00200710 0.91438460 -0.00873579
0.00235178 0.91438460 -0.00925736
0.00235215 0.91438460 -0.00925792
0.00272251 0.91438460 -0.00977943
0.00272291 0.91438460 -0.00977999
0.00311966 0.91438460 -0.01030347
0.00312008 0.91438460 -0.01030403
0.00353915 0.91438460 -0.01082617
0.00353961 0.91438460 -0.01082674
0.00398044 0.91438460 -0.01134950
0.00398091 0.91438460 -0.01135006
0.00444597 0.91438460 -0.01187429
0.00444647 0.91438460 -0.01187486
0.00493435 0.91438460 -0.01239947
0.00493488 0.91438460 -0.01240004
0.00544460 0.91438460 -0.01292622
0.00544515 0.91438460 -0.01292678
0.00597422 0.91438460 -0.01345945
0.00597479 0.91438460 -0.01346002
0.00651519 0.91438460 -0.01400729
0.00651578 0.91438460 -0.01400788
0.00707138 0.91438460 -0.01457415
0.00707198 0.91438460 -0.01457476
0.00765426 0.91438460 -0.01513071
0.00765488 0.91438460 -0.01513131
0.00827331 0.91438460 -0.01566629
0.00827398 0.91438460 -0.01566686
0.00891658 0.91438460 -0.01620454
0.00891728 0.91438460 -0.01620512
0.00956926 0.91438460 -0.01675536
0.00956996 0.91438460 -0.01675595
0.01025114 0.91438460 -0.01730227
0.01025188 0.91438460 -0.01730286
0.01096382 0.91438460 -0.01783374
0.01096459 0.91438460 -0.01783431
0.01169273 0.91438460 -0.01836632
0.01169352 0.91438460 -0.01836689
0.01245035 0.91438460 -0.01889312
0.01245117 0.91438460 -0.01889369
0.01323473 0.91438460 -0.01940481
0.01323558 0.91438460 -0.01940536
0.01403697 0.91438460 -0.01992213
0.01403783 0.91438460 -0.01992269
0.01486005 0.91438460 -0.02044029
0.01486093 0.91438460 -0.02044084
0.01570415 0.91438460 -0.02094963
0.01570506 0.91438460 -0.02095018
0.01657796 0.91438460 -0.02145539
0.01657890 0.91438460 -0.02145593
0.01747049 0.91438460 -0.02195223
0.01747145 0.91438460 -0.02195277
0.01838346 0.91438460 -0.02244871
0.01838445 0.91438460 -0.02244925
0.01932140 0.91438460 -0.02294425
0.01932241 0.91438460 -0.02294478
0.02027556 0.91438460 -0.02343569
0.02027659 0.91438460 -0.02343621
0.02126087 0.91438460 -0.02391143
0.02126193 0.91438460 -0.02391194
0.02226604 0.91438460 -0.02437336
0.02226712 0.91438460 -0.02437386
0.02329166 0.91438460 -0.02482903
0.02329276 0.91438460 -0.02482952
0.02434863 0.91438460 -0.02527171
0.02434977 0.91438460 -0.02527218
0.02542250 0.91438460 -0.02570729
0.02542365 0.91438460 -0.02570775
0.02651169 0.91438460 -0.02614594
0.02651286 0.91438460 -0.02614641
0.02762525 0.91438460 -0.02657708
0.02762645 0.91438460 -0.02657754
0.02876167 0.91438460 -0.02699456
0.02876289 0.91438460 -0.02699501
0.02992177 0.91438460 -0.02740881
0.02992302 0.91438460 -0.02740925
0.03109778 0.91438460 -0.02782330
0.03109905 0.91438460 -0.02782374
0.03229201 0.91438460 -0.02823477
0.03229329 0.91438460 -0.02823521
0.03351093 0.91438460 -0.02863846
0.03351224 0.91438460 -0.02863889
0.03474737 0.91438460 -0.02903291
0.03474870 0.91438460 -0.02903334
0.03600424 0.91438460 -0.02941709
0.03600559 0.91438460 -0.02941750
0.03728683 0.91438460 -0.02978810
0.03728821 0.91438460 -0.02978850
0.03859127 0.91438460 -0.03014471
0.03859267 0.91438460 -0.03014509
0.03991453 0.91438460 -0.03049807
0.03991595 0.91438460 -0.03049845
0.04125485 0.91438460 -0.03085441
0.04125629 0.91438460 -0.03085479
0.04261177 0.91438460 -0.03120799
0.04261323 0.91438460 -0.03120837
0.04399140 0.91438460 -0.03155257
0.04399288 0.91438460 -0.03155294
0.04539376 0.91438460 -0.03188931
0.04539526 0.91438460 -0.03188968
0.04681439 0.91438460 -0.03222078
0.04681592 0.91438460 -0.03222113
0.04825411 0.91438460 -0.03254063
0.04825566 0.91438460 -0.03254098
0.04971004 0.91438460 -0.03284527
0.04971161 0.91438460 -0.03284559
0.05119796 0.91438460 -0.03310983
0.05119956 0.91438460 -0.03311012
0.05272877 0.91438460 -0.03321736
0.05273042 0.91438460 -0.03321747
0.05435532 0.91438460 -0.03281385
0.05435707 0.91438460 -0.03281342
0.05617962 0.91438460 -0.03123863
0.05618158 0.91438460 -0.03123694
0.05814599 0.91438460 -0.02874681
0.05814810 0.91438460 -0.02874413
0.05996346 0.91438460 -0.02721431
0.05996542 0.91438460 -0.02721266
0.06158330 0.91438460 -0.02707519
0.06158504 0.91438460 -0.02707505
0.06318382 0.91438460 -0.02717624
0.06318554 0.91438460 -0.02717635
0.06480279 0.91438460 -0.02726952
0.06480453 0.91438460 -0.02726962
0.06643828 0.91438460 -0.02736920
0.06644004 0.91438460 -0.02736931
0.06808982 0.91438460 -0.02747276
0.06809160 0.91438460 -0.02747287
