#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Cut/Slice DATA SUBMITTAL FORM for Test Case ###, May 4th 2026
#
#  
#
#
#       NOMENCLATURE:
#                  X [m]:  X-coordinate of the surface (clean for reference)
#                  Y [m]:  Y-coordinate of the surface (clean for reference)
#                  Z [m]:  Z-coordinate of the surface (clean for reference)
#             X_ICED [m]:  X-coordinate of the ice surface (1/1 layer only)
#             Y_ICED [m]:  Y-coordinate of the ice surface (1/1 layer only)
#             Z_ICED [m]:  Z-coordinate of the ice surface (1/1 layer only)
#                  s [m]:  Wrap distance from high-light on surface (X, Y, Z)
#                 Cp [-]:  Pressure coefficient
#            HTC [W/m2K]:  Convective Heat Transfer Coefficient
#               Beta [-]:  Collection efficiency
#                 Ts [K]:  Surface temperature
#                 FF [-]:  Freezing fraction
#                  k [m]:  Surface roughness height (OPTIONAL)
#         RhoIce [kg/m3]:  Ice density (OPTIONAL)
#      HTC_CLEAN [W/m2K]:  Convective Heat Transfer Coefficient on the surface without roughness (OPTIONAL)
#
#                XXX:   Participant ID (assigned by IPW committee); e.g., 001, 020, 147
#                ###:   Test case name (NACA0012_AE3932, NACA0012_3933, ONERAM6)
#            DATASET:   Sequential number, should start at 01 for each participant 
#
#    E.g. TITLE field could be: 001_NACA0012_AE3932_03 for the third submission by participant 1 for the case NACA0012_AE3932
#
#
#    FLOW CONDITIONS:
#                        AOA : 4.0 deg
#                 Mach Number: 0.3114 [-]
#                         MAC: 0.5334 [m]
#             Reynolds Number: 3.8441 million (based on MAC)
#             Freestream Temp: XXX [K]
#              Reference area: 0.97548 [m2]
#     Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

                                                             <- Optional ->                 
VARIABLES = "X" "Y" "Z" "Cp" "HTC" "Beta" "Ts" "FF" "k" "RhoIce" "HTC_CLEAN"

##### INTERNAL COMMENT : WILL ADD DETAILS ABOUT THE SLICE ONCE THE FORMAT IS AGREED #####

# The following section contains first-layer surface variables for the selected grid level.
# Each ZONE corresponds to one slice location and one droplet-bin distribution.
ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_CUTDATA"
0.53242 0.91440 -0.02798 0.04080 129.97954 0.00000 272.08928 0.00000 -999.00000 680.00000 -999.00000 
0.53241 0.91440 -0.02813 0.03501 117.89673 0.00000 272.07515 0.00000 -999.00000 680.00000 -999.00000 
0.53240 0.91440 -0.02828 0.02251 100.16014 0.00000 272.04735 0.00000 -999.00000 680.00000 -999.00000 
0.53239 0.91440 -0.02843 -0.03478 121.13499 0.00000 272.03230 0.00000 -999.00000 680.00000 -999.00000 
0.53238 0.91440 -0.02858 -0.08412 152.29879 0.00000 272.03523 0.00000 -999.00000 680.00000 -999.00000 
0.53086 0.91440 -0.02868 0.11991 323.44414 0.00000 272.19651 0.00000 -999.00000 680.00000 -999.00000 
0.52843 0.91440 -0.02885 0.08559 321.72901 0.00000 272.17713 0.00000 -999.00000 680.00000 -999.00000 
0.52453 0.91440 -0.02911 0.08183 312.67184 0.00000 272.17380 0.00000 -999.00000 680.00000 -999.00000 
0.51931 0.91440 -0.02946 0.07379 312.76933 0.00000 272.16932 0.00000 -999.00000 680.00000 -999.00000 
0.51409 0.91440 -0.02980 0.06713 315.85009 0.00000 272.16604 0.00000 -999.00000 680.00000 -999.00000 
0.50887 0.91440 -0.03013 0.06049 319.79369 0.00000 272.16286 0.00000 -999.00000 680.00000 -999.00000 
0.50365 0.91440 -0.03045 0.05415 323.81381 0.00000 272.15985 0.00000 -999.00000 680.00000 -999.00000 
0.49843 0.91440 -0.03077 0.04802 327.55947 0.00000 272.15691 0.00000 -999.00000 680.00000 -999.00000 
0.49321 0.91440 -0.03107 0.04214 330.99072 0.00000 272.15406 0.00000 -999.00000 680.00000 -999.00000 
0.48799 0.91440 -0.03137 0.03652 334.17952 0.00000 272.15131 0.00000 -999.00000 680.00000 -999.00000 
0.48277 0.91440 -0.03166 0.03116 337.19965 0.00000 272.14868 0.00000 -999.00000 680.00000 -999.00000 
0.47754 0.91440 -0.03195 0.02604 340.08698 0.00000 272.14616 0.00000 -999.00000 680.00000 -999.00000 
0.47232 0.91440 -0.03223 0.02116 342.85575 0.00000 272.14375 0.00000 -999.00000 680.00000 -999.00000 
0.46710 0.91440 -0.03250 0.01649 345.50930 0.00000 272.14145 0.00000 -999.00000 680.00000 -999.00000 
0.46187 0.91440 -0.03276 0.01200 348.05919 0.00000 272.13922 0.00000 -999.00000 680.00000 -999.00000 
0.45665 0.91440 -0.03302 0.00771 350.52099 0.00000 272.13709 0.00000 -999.00000 680.00000 -999.00000 
0.45143 0.91440 -0.03327 0.00357 352.89575 0.00000 272.13503 0.00000 -999.00000 680.00000 -999.00000 
0.44620 0.91440 -0.03351 -0.00042 355.19824 0.00000 272.13304 0.00000 -999.00000 680.00000 -999.00000 
0.44098 0.91440 -0.03374 -0.00426 357.43709 0.00000 272.13113 0.00000 -999.00000 680.00000 -999.00000 
0.43575 0.91440 -0.03397 -0.00797 359.61284 0.00000 272.12928 0.00000 -999.00000 680.00000 -999.00000 
0.43052 0.91440 -0.03420 -0.01156 361.73974 0.00000 272.12749 0.00000 -999.00000 680.00000 -999.00000 
0.42530 0.91440 -0.03441 -0.01504 363.82411 0.00000 272.12575 0.00000 -999.00000 680.00000 -999.00000 
0.42007 0.91440 -0.03462 -0.01842 365.86959 0.00000 272.12407 0.00000 -999.00000 680.00000 -999.00000 
0.41484 0.91440 -0.03482 -0.02170 367.87927 0.00000 272.12243 0.00000 -999.00000 680.00000 -999.00000 
0.40962 0.91440 -0.03502 -0.02489 369.85887 0.00000 272.12083 0.00000 -999.00000 680.00000 -999.00000 
0.40439 0.91440 -0.03521 -0.02801 371.81441 0.00000 272.11928 0.00000 -999.00000 680.00000 -999.00000 
0.39916 0.91440 -0.03539 -0.03105 373.75482 0.00000 272.11776 0.00000 -999.00000 680.00000 -999.00000 
0.39394 0.91440 -0.03556 -0.03403 375.68872 0.00000 272.11627 0.00000 -999.00000 680.00000 -999.00000 
0.38871 0.91440 -0.03573 -0.03694 377.61701 0.00000 272.11482 0.00000 -999.00000 680.00000 -999.00000 
0.38348 0.91440 -0.03589 -0.03980 379.54214 0.00000 272.11340 0.00000 -999.00000 680.00000 -999.00000 
0.37825 0.91440 -0.03605 -0.04258 381.46633 0.00000 272.11201 0.00000 -999.00000 680.00000 -999.00000 
0.37302 0.91440 -0.03620 -0.04530 383.37818 0.00000 272.11066 0.00000 -999.00000 680.00000 -999.00000 
0.36779 0.91440 -0.03634 -0.04801 385.28613 0.00000 272.10931 0.00000 -999.00000 680.00000 -999.00000 
0.36257 0.91440 -0.03647 -0.05066 387.21604 0.00000 272.10800 0.00000 -999.00000 680.00000 -999.00000 
0.35734 0.91440 -0.03660 -0.05326 389.16832 0.00000 272.10671 0.00000 -999.00000 680.00000 -999.00000 
0.35211 0.91440 -0.03672 -0.05581 391.14199 0.00000 272.10545 0.00000 -999.00000 680.00000 -999.00000 
0.34688 0.91440 -0.03683 -0.05831 393.13540 0.00000 272.10422 0.00000 -999.00000 680.00000 -999.00000 
0.34165 0.91440 -0.03693 -0.06077 395.14873 0.00000 272.10301 0.00000 -999.00000 680.00000 -999.00000 
0.33642 0.91440 -0.03703 -0.06319 397.18947 0.00000 272.10183 0.00000 -999.00000 680.00000 -999.00000 
0.33119 0.91440 -0.03712 -0.06556 399.25432 0.00000 272.10067 0.00000 -999.00000 680.00000 -999.00000 
0.32596 0.91440 -0.03720 -0.06790 401.33963 0.00000 272.09953 0.00000 -999.00000 680.00000 -999.00000 
0.32073 0.91440 -0.03727 -0.07020 403.44489 0.00000 272.09841 0.00000 -999.00000 680.00000 -999.00000 
0.31550 0.91440 -0.03733 -0.07247 405.57099 0.00000 272.09731 0.00000 -999.00000 680.00000 -999.00000 
0.31027 0.91440 -0.03739 -0.07470 407.72009 0.00000 272.09623 0.00000 -999.00000 680.00000 -999.00000 
0.30504 0.91440 -0.03743 -0.07690 409.89639 0.00000 272.09517 0.00000 -999.00000 680.00000 -999.00000 
0.29981 0.91440 -0.03747 -0.07906 412.10656 0.00000 272.09413 0.00000 -999.00000 680.00000 -999.00000 
0.29458 0.91440 -0.03750 -0.08119 414.35249 0.00000 272.09311 0.00000 -999.00000 680.00000 -999.00000 
0.28935 0.91440 -0.03752 -0.08327 416.63541 0.00000 272.09211 0.00000 -999.00000 680.00000 -999.00000 
0.28412 0.91440 -0.03753 -0.08532 418.95897 0.00000 272.09114 0.00000 -999.00000 680.00000 -999.00000 
0.27889 0.91440 -0.03753 -0.08733 421.31466 0.00000 272.09019 0.00000 -999.00000 680.00000 -999.00000 
0.27366 0.91440 -0.03752 -0.08928 423.70263 0.00000 272.08927 0.00000 -999.00000 680.00000 -999.00000 
0.26843 0.91440 -0.03750 -0.09120 426.13556 0.00000 272.08837 0.00000 -999.00000 680.00000 -999.00000 
0.26320 0.91440 -0.03746 -0.09306 428.61612 0.00000 272.08750 0.00000 -999.00000 680.00000 -999.00000 
0.25797 0.91440 -0.03742 -0.09487 431.14278 0.00000 272.08667 0.00000 -999.00000 680.00000 -999.00000 
0.25273 0.91440 -0.03736 -0.09661 433.71272 0.00000 272.08587 0.00000 -999.00000 680.00000 -999.00000 
0.24750 0.91440 -0.03730 -0.09828 436.32364 0.00000 272.08512 0.00000 -999.00000 680.00000 -999.00000 
0.24227 0.91440 -0.03722 -0.09986 438.98162 0.00000 272.08441 0.00000 -999.00000 680.00000 -999.00000 
0.23705 0.91440 -0.03712 -0.10136 441.70272 0.00000 272.08376 0.00000 -999.00000 680.00000 -999.00000 
0.23182 0.91440 -0.03702 -0.10276 444.50690 0.00000 272.08317 0.00000 -999.00000 680.00000 -999.00000 
0.22659 0.91440 -0.03690 -0.10405 447.41069 0.00000 272.08264 0.00000 -999.00000 680.00000 -999.00000 
0.22136 0.91440 -0.03677 -0.10523 450.42003 0.00000 272.08217 0.00000 -999.00000 680.00000 -999.00000 
