#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Cut/Slice DATA SUBMITTAL FORM for Test Case ###, May 4th 2026
#
#  
#
#
#       NOMENCLATURE:
#                  X [m]:  X-coordinate of the surface (clean for reference)
#                  Y [m]:  Y-coordinate of the surface (clean for reference)
#                  Z [m]:  Z-coordinate of the surface (clean for reference)
#             X_ICED [m]:  X-coordinate of the ice surface (1/1 layer only)
#             Y_ICED [m]:  Y-coordinate of the ice surface (1/1 layer only)
#             Z_ICED [m]:  Z-coordinate of the ice surface (1/1 layer only)
#                  s [m]:  Wrap distance from high-light on surface (X, Y, Z)
#                 Cp [-]:  Pressure coefficient
#            HTC [W/m2K]:  Convective Heat Transfer Coefficient
#               Beta [-]:  Collection efficiency
#                 Ts [K]:  Surface temperature
#                 FF [-]:  Freezing fraction
#                  k [m]:  Surface roughness height (OPTIONAL)
#         RhoIce [kg/m3]:  Ice density (OPTIONAL)
#      HTC_CLEAN [W/m2K]:  Convective Heat Transfer Coefficient on the surface without roughness (OPTIONAL)
#
#                XXX:   Participant ID (assigned by IPW committee); e.g., 001, 020, 147
#                ###:   Test case name (NACA0012_AE3932, NACA0012_3933, ONERAM6)
#            DATASET:   Sequential number, should start at 01 for each participant 
#
#    E.g. TITLE field could be: 001_NACA0012_AE3932_03 for the third submission by participant 1 for the case NACA0012_AE3932
#
#
#    FLOW CONDITIONS:
#                        AOA : 4.0 deg
#                 Mach Number: 0.3114 [-]
#                         MAC: 0.5334 [m]
#             Reynolds Number: 3.8441 million (based on MAC)
#             Freestream Temp: XXX [K]
#              Reference area: 0.97548 [m2]
#     Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

                                                             <- Optional ->                 
VARIABLES = "X" "Y" "Z" "Cp" "HTC" "Beta" "Ts" "FF" "k" "RhoIce" "HTC_CLEAN"

##### INTERNAL COMMENT : WILL ADD DETAILS ABOUT THE SLICE ONCE THE FORMAT IS AGREED #####

# The following section contains first-layer surface variables for the selected grid level.
# Each ZONE corresponds to one slice location and one droplet-bin distribution.
ZONE T="SLICE_Y_0p1_BINS03_KS_1mm_CUTDATA"
1.02809 0.10000 0.00000 0.04326 195.01586 0.00000 274.68889 0.00000 -999.00000 680.00000 -999.00000 
1.02767 0.10000 -0.00005 0.08024 180.48654 0.00000 274.71188 0.00000 -999.00000 680.00000 -999.00000 
1.02631 0.10000 -0.00023 0.09958 162.14088 0.00000 274.71697 0.00000 -999.00000 680.00000 -999.00000 
1.02371 0.10000 -0.00056 0.09168 162.55411 0.00000 274.71015 0.00000 -999.00000 680.00000 -999.00000 
1.01925 0.10000 -0.00113 0.08724 162.17358 0.00000 274.70580 0.00000 -999.00000 680.00000 -999.00000 
1.01183 0.10000 -0.00206 0.07825 165.21891 0.00000 274.70015 0.00000 -999.00000 680.00000 -999.00000 
0.99946 0.10000 -0.00359 0.06405 170.26439 0.00000 274.69122 0.00000 -999.00000 680.00000 -999.00000 
0.97878 0.10000 -0.00613 0.03756 177.99604 0.00000 274.67267 0.00000 -999.00000 680.00000 -999.00000 
0.94439 0.10000 -0.01035 -0.00044 190.09959 0.00000 274.64575 0.00000 -999.00000 680.00000 -999.00000 
0.88858 0.10000 -0.01680 -0.04075 205.78221 0.00000 274.61759 0.00000 -999.00000 680.00000 -999.00000 
0.80304 0.10000 -0.02547 -0.08539 223.16456 0.00000 274.58473 0.00000 -999.00000 680.00000 -999.00000 
0.68456 0.10000 -0.03573 -0.14178 243.42978 0.00000 274.54052 0.00000 -999.00000 680.00000 -999.00000 
0.54291 0.10000 -0.04460 -0.16969 268.40262 0.00000 274.52294 0.00000 -999.00000 680.00000 -999.00000 
0.40127 0.10000 -0.04715 -0.14740 292.03933 0.00000 274.55056 0.00000 -999.00000 680.00000 -999.00000 
0.28278 0.10000 -0.04413 -0.11279 312.54749 0.00000 274.58788 0.00000 -999.00000 680.00000 -999.00000 
0.19725 0.10000 -0.03898 -0.07672 333.59792 0.00000 273.04647 0.40241 -999.00000 680.00000 -999.00000 
0.14143 0.10000 -0.03353 -0.04065 355.37349 0.00028 272.22391 0.78021 -999.00000 680.00000 -999.00000 
0.10704 0.10000 -0.02882 -0.05321 385.63293 0.00481 273.05497 0.53714 -999.00000 680.00000 -999.00000 
0.08637 0.10000 -0.02492 -0.03734 438.58957 0.06481 273.15000 0.23720 -999.00000 680.00000 -999.00000 
0.07400 0.10000 -0.02052 0.12275 510.04419 0.21105 273.15000 0.12127 -999.00000 680.00000 -999.00000 
0.06657 0.10000 -0.01578 0.38701 573.38563 0.37038 273.15000 0.05596 -999.00000 680.00000 -999.00000 
