TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
-0.985748749174 0
-0.985638295563 95
-0.985315805254 94
-0.984760017524 93
-0.983943868028 92
-0.982825074035 91
-0.98132300879 90
-0.979366966868 89
-0.976836650682 88
-0.973560891228 87
-0.969348670911 86
-0.963907264843 85
-0.956884409298 84
-0.94779758367 83
-0.936049000777 82
-0.92089442391 81
-0.901401037852 80
-0.876546541277 79
-0.845219284774 78
-0.806364478122 77
-0.759240406778 76
-0.703653267978 75
-0.640306172543 74
-0.570968540625 73
-0.498383152977 72
-0.425870074847 71
-0.356709137895 70
-0.293570239425 69
-0.23817555376 68
-0.19121160482 67
-0.152487363058 66
-0.121225290191 65
-0.0963991245583 64
-0.0768994912284 63
-0.0616866381101 62
-0.0498630515138 61
-0.0406465608585 60
-0.0333612811795 59
-0.0274996773035 58
-0.0226896045389 57
-0.0186731259818 56
-0.0152754503057 55
-0.0123497538074 54
-0.00979114090196 53
-0.0075212290094 52
-0.00546497027081 51
-0.00358281724834 50
-0.00183330303005 49
0 48
0.00183330303005 47
0.00358281724834 46
0.00546497027081 45
0.0075212290094 44
0.00979114090196 43
0.0123497538074 42
0.0152754503057 41
0.0186731259818 40
0.0226896045389 39
0.0274996773035 38
0.0333612811795 37
0.0406465608585 36
0.0498630515138 35
0.0616866381101 34
0.0768994912284 33
0.0963991245583 32
0.121225290191 31
0.152487363058 30
0.19121160482 29
0.23817555376 28
0.293570239425 27
0.356709137895 26
0.425870074847 25
0.498383152977 24
0.570968540625 23
0.640306172543 22
0.703653267978 21
0.759240406778 20
0.806364478122 19
0.845219284774 18
0.876546541277 17
0.901401037852 16
0.92089442391 15
0.936049000777 14
0.94779758367 13
0.956884409298 12
0.963907264843 11
0.969348670911 10
0.973560891228 9
0.976836650682 8
0.979366966868 7
0.98132300879 6
0.982825074035 5
0.983943868028 4
0.984760017524 3
0.985315805254 2
0.985638295563 1

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_CUTDATA"
-0.790033554483 0
-0.789943000631 95
-0.789691207065 94
-0.789247134999 93
-0.788592230426 92
-0.787694176975 91
-0.786484838313 90
-0.784921988352 89
-0.782886576846 88
-0.780265718208 87
-0.776889492504 86
-0.77253587332 85
-0.766904665635 84
-0.759620092895 83
-0.75020956156 82
-0.738057866205 81
-0.722441848787 80
-0.702512809673 79
-0.677403948688 78
-0.646271738679 77
-0.608503008227 76
-0.563951270887 75
-0.513186399174 74
-0.457614411627 73
-0.399440147557 72
-0.341323491597 71
-0.285892732988 70
-0.235285594163 69
-0.19089746512 68
-0.153256401107 67
-0.122211167979 66
-0.0971634814587 65
-0.0772658936652 64
-0.0616386706234 63
-0.0494480184669 62
-0.039965460795 61
-0.0325809567494 60
-0.0267381748777 59
-0.0220373451637 58
-0.0181860466814 57
-0.0149716882695 56
-0.0122392900555 55
-0.00990155611 54
-0.00785094644456 53
-0.00602389964713 52
-0.00437994101018 51
-0.00286465225882 50
-0.00146219013811 49
0 48
0.00146219013811 47
0.00286465225882 46
0.00437994101018 45
0.00602389964713 44
0.00785094644456 43
0.00990155611 42
0.0122392900555 41
0.0149716882695 40
0.0181860466814 39
0.0220373451637 38
0.0267381748777 37
0.0325809567494 36
0.039965460795 35
0.0494480184669 34
0.0616386706234 33
0.0772658936652 32
0.0971634814587 31
0.122211167979 30
0.153256401107 29
0.19089746512 28
0.235285594163 27
0.285892732988 26
0.341323491597 25
0.399440147557 24
0.457614411627 23
0.513186399174 22
0.563951270887 21
0.608503008227 20
