#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "1"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="FELINESEG_SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
 STRANDID=5, SOLUTIONTIME=0
 Nodes=2968, Elements=2969, ZONETYPE=FELineSeg
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 3.929945827E-02 9.143998569E-01 -1.914005167E-02
 3.925940714E-02 9.143998569E-01 -1.910000108E-02
 3.935667294E-02 9.143998569E-01 -1.914005167E-02
 3.942949771E-02 9.143998569E-01 -1.917004193E-02
 3.949945420E-02 9.143998569E-01 -1.923999935E-02
 3.959951176E-02 9.143998569E-01 -1.923999935E-02
 3.969945014E-02 9.143998569E-01 -1.923999935E-02
 3.979951142E-02 9.143998569E-01 -1.923999935E-02
 3.986947164E-02 9.143998569E-01 -1.917004193E-02
 3.989945352E-02 9.143998569E-01 -1.914005167E-02
 3.993950358E-02 9.143998569E-01 -1.910000108E-02
 3.993950358E-02 9.143998569E-01 -1.895721849E-02
 4.525934586E-02 9.143998569E-01 -1.910000108E-02
 4.529939592E-02 9.143998569E-01 -1.914005167E-02
 4.535661059E-02 9.143998569E-01 -1.914005167E-02
 4.549939185E-02 9.143998569E-01 -1.914005167E-02
 4.555660866E-02 9.143998569E-01 -1.914005167E-02
 4.569939524E-02 9.143998569E-01 -1.914005167E-02
 4.575660991E-02 9.143998569E-01 -1.914005167E-02
 4.589939117E-02 9.143998569E-01 -1.914005167E-02
 4.595660585E-02 9.143998569E-01 -1.914005167E-02
 4.609938711E-02 9.143998569E-01 -1.914005167E-02
 4.613943823E-02 9.143998569E-01 -1.910000108E-02
 4.616942889E-02 9.143998569E-01 -1.907001920E-02
 4.626936913E-02 9.143998569E-01 -1.907001920E-02
 4.929935560E-02 9.143998569E-01 -1.923999935E-02
 4.922931381E-02 9.143998569E-01 -1.916995850E-02
 4.915935546E-02 9.143998569E-01 -1.910000108E-02
 4.915935546E-02 9.143998569E-01 -1.900006178E-02
 4.939941502E-02 9.143998569E-01 -1.923999935E-02
 4.949935526E-02 9.143998569E-01 -1.923999935E-02
 4.956939704E-02 9.143998569E-01 -1.916995850E-02
 4.963935539E-02 9.143998569E-01 -1.910000108E-02
 4.963935539E-02 9.143998569E-01 -1.900006178E-02
 3.609948605E-02 9.143998569E-01 -1.913988986E-02
 3.605959781E-02 9.143998569E-01 -1.910000108E-02
 3.615647169E-02 9.143998569E-01 -1.913988986E-02
 3.604250254E-02 9.143998569E-01 -1.908290582E-02
 3.629948944E-02 9.143998569E-01 -1.913988986E-02
 3.633937662E-02 9.143998569E-01 -1.910000108E-02
 3.636944407E-02 9.143998569E-01 -1.906998344E-02
 3.924224359E-02 9.143998569E-01 -1.908283647E-02
 4.524218125E-02 9.143998569E-01 -1.908283647E-02
 3.599954768E-02 9.143998569E-01 -1.904000156E-02
