#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="FELINESEG_SLICE_Y_0p9144_BINS01_KS_1mm_SINGLE_LAYER"
 STRANDID=5, SOLUTIONTIME=0
 Nodes=2834, Elements=2834, ZONETYPE=FELineSeg
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE )
 4.385936207E-02 9.143998569E-01 -1.910000108E-02
 4.389941320E-02 9.143998569E-01 -1.914005167E-02
 4.395662894E-02 9.143998569E-01 -1.914005167E-02
 4.409941286E-02 9.143998569E-01 -1.914005167E-02
 4.413946292E-02 9.143998569E-01 -1.910000108E-02
 4.413946292E-02 9.143998569E-01 -1.895721849E-02
 4.419943466E-02 9.143998569E-01 -1.900006178E-02
 3.849947080E-02 9.143998569E-01 -1.913988986E-02
 3.845958043E-02 9.143998569E-01 -1.910000108E-02
 3.855645431E-02 9.143998569E-01 -1.913988986E-02
 3.844248517E-02 9.143998569E-01 -1.908290582E-02
 3.869946674E-02 9.143998569E-01 -1.913988986E-02
 3.875645024E-02 9.143998569E-01 -1.913988986E-02
 3.889946267E-02 9.143998569E-01 -1.913988986E-02
 3.895644830E-02 9.143998569E-01 -1.913988986E-02
 3.909946606E-02 9.143998569E-01 -1.913988986E-02
 3.915644957E-02 9.143998569E-01 -1.913988986E-02
 3.929946199E-02 9.143998569E-01 -1.913988986E-02
 3.933935130E-02 9.143998569E-01 -1.910000108E-02
 3.933935130E-02 9.143998569E-01 -1.895698732E-02
 4.384219852E-02 9.143998569E-01 -1.908283647E-02
 4.669938609E-02 9.143998569E-01 -1.913988986E-02
 4.665949678E-02 9.143998569E-01 -1.910000108E-02
 4.675636960E-02 9.143998569E-01 -1.913988986E-02
 4.664240258E-02 9.143998569E-01 -1.908290582E-02
 4.689938203E-02 9.143998569E-01 -1.913988986E-02
 4.695636766E-02 9.143998569E-01 -1.913988986E-02
 4.709938541E-02 9.143998569E-01 -1.913988986E-02
 4.713927259E-02 9.143998569E-01 -1.910000108E-02
 4.716934004E-02 9.143998569E-01 -1.906998344E-02
 3.829946741E-02 9.143998569E-01 -1.904000156E-02
 3.822942749E-02 9.143998569E-01 -1.896996070E-02
 3.815947101E-02 9.143998569E-01 -1.890000328E-02
 3.812948912E-02 9.143998569E-01 -1.887002140E-02
 3.839952870E-02 9.143998569E-01 -1.904000156E-02
 4.365936720E-02 9.143998569E-01 -1.890000328E-02
 4.369941726E-02 9.143998569E-01 -1.894005388E-02
 4.422945417E-02 9.143998569E-01 -1.897004414E-02
 4.429941252E-02 9.143998569E-01 -1.904000156E-02
 4.439947008E-02 9.143998569E-01 -1.904000156E-02
 4.449940845E-02 9.143998569E-01 -1.904000156E-02
 4.459946601E-02 9.143998569E-01 -1.904000156E-02
 4.466942250E-02 9.143998569E-01 -1.897004414E-02
 4.469940439E-02 9.143998569E-01 -1.894005388E-02
 4.473945658E-02 9.143998569E-01 -1.890000328E-02
 4.476944804E-02 9.143998569E-01 -1.887002140E-02
 4.486939013E-02 9.143998569E-01 -1.887002140E-02
 4.609939083E-02 9.143998569E-01 -1.904000156E-02
 4.619945026E-02 9.143998569E-01 -1.904000156E-02
 4.629939049E-02 9.143998569E-01 -1.904000156E-02
 4.639944992E-02 9.143998569E-01 -1.904000156E-02
 4.649939016E-02 9.143998569E-01 -1.904000156E-02
 4.659944772E-02 9.143998569E-01 -1.904000156E-02
 4.719932378E-02 9.143998569E-01 -1.904000156E-02
 4.726936184E-02 9.143998569E-01 -1.896996070E-02
 3.933935130E-02 9.143998569E-01 -1.890000328E-02
 3.936942034E-02 9.143998569E-01 -1.886998564E-02
 4.364220259E-02 9.143998569E-01 -1.888283867E-02
 4.589939490E-02 9.143998569E-01 -1.893989206E-02
 4.585950666E-02 9.143998569E-01 -1.890000328E-02
 4.595637841E-02 9.143998569E-01 -1.893989206E-02
 4.584241139E-02 9.143998569E-01 -1.888290802E-02
 4.729938135E-02 9.143998569E-01 -1.893989206E-02
 4.735636486E-02 9.143998569E-01 -1.893989206E-02
 4.749937728E-02 9.143998569E-01 -1.893989206E-02
 4.755636185E-02 9.143998569E-01 -1.893989206E-02
 4.769937694E-02 9.143998569E-01 -1.893989206E-02
 4.773926625E-02 9.143998569E-01 -1.890000328E-02
 4.773926625E-02 9.143998569E-01 -1.875698953E-02
 4.809937254E-02 9.143998569E-01 -1.893989206E-02
 4.805948429E-02 9.143998569E-01 -1.890000328E-02
 4.815635605E-02 9.143998569E-01 -1.893989206E-02
 4.805948429E-02 9.143998569E-01 -1.884301924E-02
 4.829936847E-02 9.143998569E-01 -1.893989206E-02
 4.833925672E-02 9.143998569E-01 -1.890000328E-02
 4.836932496E-02 9.143998569E-01 -1.886998564E-02
 3.769947961E-02 9.143998569E-01 -1.884000376E-02
 3.762943783E-02 9.143998569E-01 -1.876996291E-02
 3.755947948E-02 9.143998569E-01 -1.870000549E-02
 3.752949573E-02 9.143998569E-01 -1.867002360E-02
 3.779953717E-02 9.143998569E-01 -1.884000376E-02
 3.789947554E-02 9.143998569E-01 -1.884000376E-02
 3.799953311E-02 9.143998569E-01 -1.884000376E-02
 3.809947148E-02 9.143998569E-01 -1.884000376E-02
 3.936942034E-02 9.143998569E-01 -1.877004634E-02
 3.943946213E-02 9.143998569E-01 -1.870000549E-02
 3.943946213E-02 9.143998569E-01 -1.860006618E-02
