#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5334mm_SINGLE_LAYER"
5.323822498E-01 9.143999815E-01 -2.724484354E-02
5.322244763E-01 9.143999815E-01 -2.719719708E-02
5.320666432E-01 9.143999815E-01 -2.714955062E-02
5.317685008E-01 9.143999815E-01 -2.708634734E-02
5.314702988E-01 9.143999815E-01 -2.702314407E-02
5.309932828E-01 9.143999815E-01 -2.692212909E-02
5.305162072E-01 9.143999815E-01 -2.682111040E-02
5.297528505E-01 9.143999815E-01 -2.665982582E-02
5.289894342E-01 9.143999815E-01 -2.649853751E-02
5.277678967E-01 9.143999815E-01 -2.624134161E-02
5.265463591E-01 9.143999815E-01 -2.598414011E-02
5.248684883E-01 9.143999815E-01 -2.563230135E-02
5.231905580E-01 9.143999815E-01 -2.528045699E-02
5.213375092E-01 9.143999815E-01 -2.489381842E-02
5.194844007E-01 9.143999815E-01 -2.450717241E-02
5.176302195E-01 9.143999815E-01 -2.412253246E-02
5.157760382E-01 9.143999815E-01 -2.373788506E-02
5.139214993E-01 9.143999815E-01 -2.335532941E-02
5.120669007E-01 9.143999815E-01 -2.297276631E-02
5.102119446E-01 9.143999815E-01 -2.259227820E-02
5.083569288E-01 9.143999815E-01 -2.221178077E-02
5.065014958E-01 9.143999815E-01 -2.183331177E-02
5.046460629E-01 9.143999815E-01 -2.145483531E-02
5.027902126E-01 9.143999815E-01 -2.107835561E-02
5.009343624E-01 9.143999815E-01 -2.070186660E-02
4.990781546E-01 9.143999815E-01 -2.032737993E-02
4.972218871E-01 9.143999815E-01 -1.995288581E-02
4.953652918E-01 9.143999815E-01 -1.958037540E-02
