#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
1.028090000E+00 1.000000015E-01 0.000000000E+00
1.028083801E+00 1.000000015E-01 1.193435764E-06
1.028083444E+00 1.000000015E-01 1.253136247E-06
1.028064966E+00 1.000000015E-01 3.643260015E-06
1.028064013E+00 1.000000015E-01 3.762823781E-06
1.028032899E+00 1.000000015E-01 7.755048500E-06
1.028031349E+00 1.000000015E-01 7.954755347E-06
1.027987719E+00 1.000000015E-01 1.356214761E-05
1.027985573E+00 1.000000015E-01 1.384265215E-05
1.027929187E+00 1.000000015E-01 2.108358967E-05
1.027926445E+00 1.000000015E-01 2.144581049E-05
1.027857065E+00 1.000000015E-01 3.034405199E-05
1.027853608E+00 1.000000015E-01 3.078917871E-05
1.027771235E+00 1.000000015E-01 4.137398355E-05
1.027767181E+00 1.000000015E-01 4.190348045E-05
1.027671456E+00 1.000000015E-01 5.420971502E-05
1.027666569E+00 1.000000015E-01 5.482532288E-05
1.027557135E+00 1.000000015E-01 6.889362703E-05
1.027551651E+00 1.000000015E-01 6.959737948E-05
1.027428150E+00 1.000000015E-01 8.547433390E-05
1.027422071E+00 1.000000015E-01 8.626856288E-05
1.027284026E+00 1.000000015E-01 1.040068964E-04
1.027277112E+00 1.000000015E-01 1.048942358E-04
1.027124047E+00 1.000000015E-01 1.245530148E-04
1.027116418E+00 1.000000015E-01 1.255364332E-04
1.026947975E+00 1.000000015E-01 1.471813448E-04
1.026939631E+00 1.000000015E-01 1.482641092E-04
1.026755095E+00 1.000000015E-01 1.719676948E-04
1.026745915E+00 1.000000015E-01 1.731534430E-04
1.026544571E+00 1.000000015E-01 1.989954471E-04
1.026534557E+00 1.000000015E-01 2.002881665E-04
1.026316047E+00 1.000000015E-01 2.283557114E-04
1.026305079E+00 1.000000015E-01 2.297597675E-04
1.026068449E+00 1.000000015E-01 2.601478482E-04
1.026056647E+00 1.000000015E-01 2.616679994E-04
1.025801063E+00 1.000000015E-01 2.944797452E-04
1.025788307E+00 1.000000015E-01 2.961211139E-04
1.025512815E+00 1.000000015E-01 3.314681235E-04
1.025499105E+00 1.000000015E-01 3.332363267E-04
1.025202870E+00 1.000000015E-01 3.712390899E-04
1.025188088E+00 1.000000015E-01 3.731401521E-04
1.024869919E+00 1.000000015E-01 4.139284138E-04
1.024853945E+00 1.000000015E-01 4.159687960E-04
1.024512768E+00 1.000000015E-01 4.596819927E-04
1.024495721E+00 1.000000015E-01 4.618686798E-04
1.024130344E+00 1.000000015E-01 5.086560850E-04
1.024111986E+00 1.000000015E-01 5.109966150E-04
1.023721099E+00 1.000000015E-01 5.610179505E-04
1.023701549E+00 1.000000015E-01 5.635201815E-04
1.023283482E+00 1.000000015E-01 6.169459084E-04
1.023262620E+00 1.000000015E-01 6.196185132E-04
1.022815943E+00 1.000000015E-01 6.766300648E-04
1.022793651E+00 1.000000015E-01 6.794820656E-04
1.022316813E+00 1.000000015E-01 7.402749034E-04
1.022292972E+00 1.000000015E-01 7.433159626E-04
