LEVEL 1			
Roughness Height [mm] (0 if none i.e. smooth, -1 if variable roughness)	CL	CD	CMZ (pitching)
0.00000	0.46771	0.01129	-0.00128
LEVEL 2			
Roughness Height [mm] (0 if none i.e. smooth, -1 if variable roughness)	CL	CD	CMZ (pitching)
0.00000	0.46778	0.01188	-0.00105
LEVEL 3			
Roughness Height [mm] (0 if none i.e. smooth, -1 if variable roughness)	CL	CD	CMZ (pitching)
0.00000	0.46604	0.01377	-0.00076
LEVEL 4			
Roughness Height [mm] (0 if none i.e. smooth, -1 if variable roughness)	CL	CD	CMZ (pitching)
0.00000	0.46604	0.01377	-0.00076
