#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 5
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"
ZONE T="SLICE_Y_0p1_BINS07_KS_1mm_FINAL_LAYER"
1.02809 0.10000 -0.00000 
1.02786 0.10000 -0.00003 
1.02746 0.10000 -0.00008 
1.02719 0.10000 -0.00011 
1.02669 0.10000 -0.00017 
1.02639 0.10000 -0.00021 
1.02578 0.10000 -0.00029 
1.02544 0.10000 -0.00033 
1.02468 0.10000 -0.00042 
1.02432 0.10000 -0.00047 
1.02336 0.10000 -0.00059 
1.02298 0.10000 -0.00063 
1.02178 0.10000 -0.00078 
1.02141 0.10000 -0.00083 
1.01988 0.10000 -0.00102 
1.01955 0.10000 -0.00106 
1.01761 0.10000 -0.00130 
1.01736 0.10000 -0.00133 
1.01487 0.10000 -0.00164 
1.01481 0.10000 -0.00164 
1.01405 0.10000 -0.00174 
1.01159 0.10000 -0.00204 
1.01130 0.10000 -0.00208 
1.00766 0.10000 -0.00253 
1.00419 0.10000 -0.00296 
1.00294 0.10000 -0.00311 
0.99950 0.10000 -0.00354 
0.99727 0.10000 -0.00381 
0.99413 0.10000 -0.00420 
0.99047 0.10000 -0.00466 
0.98804 0.10000 -0.00496 
0.98231 0.10000 -0.00567 
0.98058 0.10000 -0.00588 
0.97340 0.10000 -0.00677 
0.96852 0.10000 -0.00737 
0.96447 0.10000 -0.00787 
0.95640 0.10000 -0.00887 
0.95552 0.10000 -0.00898 
0.95162 0.10000 -0.00945 
0.94599 0.10000 -0.01014 
0.94480 0.10000 -0.01028 
0.93649 0.10000 -0.01128 
0.93325 0.10000 -0.01167 
0.92696 0.10000 -0.01242 
0.92170 0.10000 -0.01303 
0.91754 0.10000 -0.01352 
0.91000 0.10000 -0.01438 
0.90830 0.10000 -0.01458 
0.90088 0.10000 -0.01542 
0.89918 0.10000 -0.01561 
0.89879 0.10000 -0.01565 
0.89030 0.10000 -0.01659 
0.88767 0.10000 -0.01688 
0.88181 0.10000 -0.01752 
0.87519 0.10000 -0.01823 
0.87211 0.10000 -0.01856 
0.86891 0.10000 -0.01890 
0.86371 0.10000 -0.01944 
0.85926 0.10000 -0.01991 
0.85553 0.10000 -0.02029 
0.85101 0.10000 -0.02075 
0.84559 0.10000 -0.02130 
0.84299 0.10000 -0.02156 
0.84116 0.10000 -0.02175 
0.83268 0.10000 -0.02259 
0.83179 0.10000 -0.02268 
0.82861 0.10000 -0.02299 
0.82260 0.10000 -0.02358 
0.82093 0.10000 -0.02374 
0.81374 0.10000 -0.02443 
0.81142 0.10000 -0.02465 
0.80789 0.10000 -0.02499 
0.80344 0.10000 -0.02541 
0.79783 0.10000 -0.02594 
0.79777 0.10000 -0.02594 
0.79296 0.10000 -0.02639 
0.78760 0.10000 -0.02689 
0.78702 0.10000 -0.02694 
0.78542 0.10000 -0.02709 
0.78045 0.10000 -0.02754 
0.77829 0.10000 -0.02774 
0.77316 0.10000 -0.02821 
0.76558 0.10000 -0.02889 
0.76492 0.10000 -0.02895 
0.76450 0.10000 -0.02898 
0.76130 0.10000 -0.02927 
0.75687 0.10000 -0.02966 
0.75607 0.10000 -0.02973 
0.75125 0.10000 -0.03016 
0.74643 0.10000 -0.03058 
0.74568 0.10000 -0.03064 
0.74503 0.10000 -0.03070 
0.73967 0.10000 -0.03116 
0.73614 0.10000 -0.03147 
0.73242 0.10000 -0.03179 
0.72788 0.10000 -0.03217 
0.72403 0.10000 -0.03250 
0.71960 0.10000 -0.03287 
0.71456 0.10000 -0.03329 
0.71141 0.10000 -0.03355 
0.70536 0.10000 -0.03405 
0.70510 0.10000 -0.03407 
0.69867 0.10000 -0.03459 
0.69673 0.10000 -0.03475 
0.68964 0.10000 -0.03531 
0.68734 0.10000 -0.03549 
0.68461 0.10000 -0.03571 
0.67942 0.10000 -0.03611 
0.67559 0.10000 -0.03641 
0.67094 0.10000 -0.03677 
0.66422 0.10000 -0.03727 
0.66355 0.10000 -0.03732 
0.66293 0.10000 -0.03737 
0.65605 0.10000 -0.03788 
0.64952 0.10000 -0.03835 
0.64854 0.10000 -0.03842 
0.64485 0.10000 -0.03868 
0.64063 0.10000 -0.03898 
0.63977 0.10000 -0.03904 
0.63231 0.10000 -0.03956 
0.62983 0.10000 -0.03972 
0.62532 0.10000 -0.04003 
0.62041 0.10000 -0.04035 
0.61792 0.10000 -0.04051 
0.61481 0.10000 -0.04071 
0.60986 0.10000 -0.04103 
0.60566 0.10000 -0.04129 
0.60200 0.10000 -0.04151 
0.59811 0.10000 -0.04174 
0.59563 0.10000 -0.04189 
0.58926 0.10000 -0.04226 
0.58790 0.10000 -0.04234 
0.57948 0.10000 -0.04281 
0.57930 0.10000 -0.04282 
0.57885 0.10000 -0.04284 
0.57158 0.10000 -0.04323 
0.56788 0.10000 -0.04341 
0.56401 0.10000 -0.04361 
0.55916 0.10000 -0.04384 
0.55592 0.10000 -0.04400 
0.55435 0.10000 -0.04407 
0.54553 0.10000 -0.04447 
0.54544 0.10000 -0.04447 
0.54533 0.10000 -0.04448 
0.53825 0.10000 -0.04478 
0.53522 0.10000 -0.04490 
0.53232 0.10000 -0.04502 
0.52788 0.10000 -0.04519 
0.52474 0.10000 -0.04531 
0.51713 0.10000 -0.04557 
0.51688 0.10000 -0.04558 
0.51675 0.10000 -0.04559 
0.50937 0.10000 -0.04583 
0.50641 0.10000 -0.04592 
0.50141 0.10000 -0.04607 
0.49895 0.10000 -0.04613 
0.49535 0.10000 -0.04623 
0.48760 0.10000 -0.04642 
0.48642 0.10000 -0.04645 
0.48568 0.10000 -0.04647 
0.48159 0.10000 -0.04656 
0.47812 0.10000 -0.04663 
0.47652 0.10000 -0.04666 
0.47185 0.10000 -0.04675 
0.46975 0.10000 -0.04679 
0.46308 0.10000 -0.04690 
0.46110 0.10000 -0.04693 
0.45723 0.10000 -0.04698 
0.45502 0.10000 -0.04701 
0.45167 0.10000 -0.04704 
0.44828 0.10000 -0.04708 
0.44707 0.10000 -0.04709 
0.43768 0.10000 -0.04716 
0.43741 0.10000 -0.04716 
0.43703 0.10000 -0.04716 
0.42874 0.10000 -0.04720 
0.42401 0.10000 -0.04721 
0.42100 0.10000 -0.04721 
0.41704 0.10000 -0.04720 
0.41389 0.10000 -0.04720 
0.41092 0.10000 -0.04719 
0.40702 0.10000 -0.04718 
0.40133 0.10000 -0.04714 
0.39811 0.10000 -0.04712 
0.39678 0.10000 -0.04711 
0.39259 0.10000 -0.04707 
0.38780 0.10000 -0.04703 
0.38614 0.10000 -0.04700 
0.37812 0.10000 -0.04690 
0.37700 0.10000 -0.04689 
0.36954 0.10000 -0.04677 
0.36890 0.10000 -0.04676 
0.36245 0.10000 -0.04664 
0.36074 0.10000 -0.04660 
0.35580 0.10000 -0.04650 
0.34931 0.10000 -0.04636 
0.34900 0.10000 -0.04635 
0.34873 0.10000 -0.04635 
0.34147 0.10000 -0.04617 
0.33299 0.10000 -0.04594 
0.33257 0.10000 -0.04592 
0.33212 0.10000 -0.04591 
0.32449 0.10000 -0.04568 
0.31981 0.10000 -0.04553 
0.31645 0.10000 -0.04542 
0.31232 0.10000 -0.04528 
0.30731 0.10000 -0.04510 
0.30544 0.10000 -0.04504 
0.30203 0.10000 -0.04491 
0.29801 0.10000 -0.04475 
0.29610 0.10000 -0.04468 
0.29025 0.10000 -0.04444 
0.28585 0.10000 -0.04425 
0.28254 0.10000 -0.04411 
0.27638 0.10000 -0.04383 
0.27513 0.10000 -0.04377 
0.27162 0.10000 -0.04360 
0.26830 0.10000 -0.04344 
0.26690 0.10000 -0.04338 
0.26169 0.10000 -0.04311 
0.25647 0.10000 -0.04284 
0.25456 0.10000 -0.04274 
0.24928 0.10000 -0.04245 
0.24645 0.10000 -0.04229 
0.24554 0.10000 -0.04224 
0.23830 0.10000 -0.04181 
0.23487 0.10000 -0.04161 
0.22941 0.10000 -0.04126 
0.22240 0.10000 -0.04081 
0.21945 0.10000 -0.04061 
0.21149 0.10000 -0.04005 
0.20939 0.10000 -0.03990 
0.20045 0.10000 -0.03923 
0.19840 0.10000 -0.03906 
0.19198 0.10000 -0.03854 
0.18963 0.10000 -0.03836 
0.18900 0.10000 -0.03830 
0.18257 0.10000 -0.03775 
0.18118 0.10000 -0.03763 
0.17475 0.10000 -0.03704 
0.17266 0.10000 -0.03684 
0.16823 0.10000 -0.03642 
0.16453 0.10000 -0.03605 
0.16232 0.10000 -0.03583 
0.15946 0.10000 -0.03553 
0.15708 0.10000 -0.03528 
0.15482 0.10000 -0.03504 
0.15112 0.10000 -0.03464 
0.14714 0.10000 -0.03419 
0.14709 0.10000 -0.03419 
0.14703 0.10000 -0.03418 
0.14318 0.10000 -0.03373 
0.14134 0.10000 -0.03351 
0.13760 0.10000 -0.03306 
0.13609 0.10000 -0.03287 
0.13290 0.10000 -0.03247 
0.13148 0.10000 -0.03229 
0.13047 0.10000 -0.03216 
0.12708 0.10000 -0.03171 
0.12534 0.10000 -0.03148 
0.12350 0.10000 -0.03123 
0.12175 0.10000 -0.03099 
0.11977 0.10000 -0.03071 
0.11882 0.10000 -0.03058 
0.11696 0.10000 -0.03030 
0.11616 0.10000 -0.03018 
0.11552 0.10000 -0.03007 
0.11369 0.10000 -0.02977 
0.11214 0.10000 -0.02952 
0.11140 0.10000 -0.02940 
0.11054 0.10000 -0.02928 
0.10927 0.10000 -0.02915 
0.10718 0.10000 -0.02909 
0.10711 0.10000 -0.02910 
0.10698 0.10000 -0.02912 
0.10545 0.10000 -0.02933 
0.10425 0.10000 -0.02970 
0.10347 0.10000 -0.02993 
0.10194 0.10000 -0.03052 
0.10127 0.10000 -0.03078 
0.09993 0.10000 -0.03122 
0.09984 0.10000 -0.03125 
0.09860 0.10000 -0.03163 
0.09824 0.10000 -0.03177 
0.09686 0.10000 -0.03212 
0.09603 0.10000 -0.03239 
0.09449 0.10000 -0.03269 
0.09406 0.10000 -0.03277 
0.09337 0.10000 -0.03280 
0.09200 0.10000 -0.03283 
0.09118 0.10000 -0.03275 
0.09027 0.10000 -0.03260 
0.08956 0.10000 -0.03241 
0.08832 0.10000 -0.03214 
0.08761 0.10000 -0.03195 
0.08625 0.10000 -0.03169 
0.08617 0.10000 -0.03168 
0.08611 0.10000 -0.03167 
0.08467 0.10000 -0.03146 
0.08382 0.10000 -0.03135 
0.08304 0.10000 -0.03128 
0.08147 0.10000 -0.03119 
0.08112 0.10000 -0.03118 
0.08022 0.10000 -0.03123 
0.07909 0.10000 -0.03132 
0.07852 0.10000 -0.03142 
0.07727 0.10000 -0.03163 
0.07626 0.10000 -0.03185 
0.07575 0.10000 -0.03201 
0.07515 0.10000 -0.03222 
0.07420 0.10000 -0.03258 
0.07347 0.10000 -0.03290 
0.07240 0.10000 -0.03336 
0.07123 0.10000 -0.03379 
0.07080 0.10000 -0.03394 
0.06931 0.10000 -0.03429 
0.06900 0.10000 -0.03436 
0.06892 0.10000 -0.03439 
0.06690 0.10000 -0.03530 
0.06637 0.10000 -0.03562 
0.06450 0.10000 -0.03673 
0.06439 0.10000 -0.03679 
0.06415 0.10000 -0.03691 
0.06267 0.10000 -0.03763 
0.06206 0.10000 -0.03790 
0.06099 0.10000 -0.03823 
0.05928 0.10000 -0.03857 
0.05901 0.10000 -0.03863 
0.05884 0.10000 -0.03865 
0.05686 0.10000 -0.03881 
0.05679 0.10000 -0.03881 
0.05654 0.10000 -0.03893 
0.05505 0.10000 -0.03964 
0.05469 0.10000 -0.03992 
0.05347 0.10000 -0.04076 
0.05241 0.10000 -0.04130 
0.05168 0.10000 -0.04160 
0.05044 0.10000 -0.04196 
0.05017 0.10000 -0.04203 
0.04924 0.10000 -0.04211 
0.04844 0.10000 -0.04217 
0.04817 0.10000 -0.04216 
0.04660 0.10000 -0.04210 
0.04527 0.10000 -0.04202 
0.04480 0.10000 -0.04202 
0.04385 0.10000 -0.04193 
0.04301 0.10000 -0.04183 
0.04269 0.10000 -0.04175 
0.04147 0.10000 -0.04156 
0.03979 0.10000 -0.04085 
0.03952 0.10000 -0.04073 
0.03940 0.10000 -0.04068 
0.03921 0.10000 -0.04058 
0.03792 0.10000 -0.03965 
0.03733 0.10000 -0.03918 
0.03692 0.10000 -0.03868 
0.03630 0.10000 -0.03745 
0.03630 0.10000 -0.03743 
0.03648 0.10000 -0.03607 
0.03701 0.10000 -0.03427 
0.03715 0.10000 -0.03388 
0.03725 0.10000 -0.03367 
0.03787 0.10000 -0.03304 
0.03874 0.10000 -0.03218 
0.03895 0.10000 -0.03197 
0.03994 0.10000 -0.03131 
0.04054 0.10000 -0.03092 
0.04070 0.10000 -0.03083 
0.04231 0.10000 -0.02999 
0.04263 0.10000 -0.02985 
0.04321 0.10000 -0.02970 
0.04446 0.10000 -0.02933 
0.04584 0.10000 -0.02897 
0.04593 0.10000 -0.02892 
0.04764 0.10000 -0.02838 
0.04799 0.10000 -0.02828 
0.04988 0.10000 -0.02802 
0.05018 0.10000 -0.02799 
0.05188 0.10000 -0.02723 
0.05233 0.10000 -0.02712 
0.05297 0.10000 -0.02649 
0.05358 0.10000 -0.02596 
0.05448 0.10000 -0.02537 
0.05492 0.10000 -0.02510 
0.05514 0.10000 -0.02497 
0.05651 0.10000 -0.02428 
0.05788 0.10000 -0.02349 
0.05816 0.10000 -0.02333 
0.05890 0.10000 -0.02279 
0.05972 0.10000 -0.02221 
0.05992 0.10000 -0.02197 
0.06074 0.10000 -0.02091 
0.06132 0.10000 -0.02003 
0.06167 0.10000 -0.01948 
0.06276 0.10000 -0.01790 
0.06283 0.10000 -0.01778 
0.06288 0.10000 -0.01762 
0.06340 0.10000 -0.01563 
0.06334 0.10000 -0.01454 
0.06327 0.10000 -0.01369 
0.06259 0.10000 -0.01208 
0.06253 0.10000 -0.01194 
0.06164 0.10000 -0.01051 
0.06155 0.10000 -0.01037 
0.06155 0.10000 -0.01036 
0.06057 0.10000 -0.00893 
0.06050 0.10000 -0.00882 
0.05970 0.10000 -0.00753 
0.05955 0.10000 -0.00729 
0.05954 0.10000 -0.00726 
0.05890 0.10000 -0.00582 
0.05871 0.10000 -0.00530 
0.05840 0.10000 -0.00428 
0.05816 0.10000 -0.00322 
0.05809 0.10000 -0.00285 
0.05807 0.10000 -0.00255 
0.05798 0.10000 -0.00067 
0.05800 0.10000 0.00002 
0.05804 0.10000 0.00089 
0.05813 0.10000 0.00219 
0.05815 0.10000 0.00247 
0.05816 0.10000 0.00263 
0.05818 0.10000 0.00438 
0.05817 0.10000 0.00482 
0.05802 0.10000 0.00650 
0.05798 0.10000 0.00690 
0.05778 0.10000 0.00792 
0.05756 0.10000 0.00909 
0.05703 0.10000 0.01071 
0.05685 0.10000 0.01128 
0.05680 0.10000 0.01143 
0.05669 0.10000 0.01165 
0.05598 0.10000 0.01308 
0.05561 0.10000 0.01382 
0.05510 0.10000 0.01472 
0.05471 0.10000 0.01548 
0.05453 0.10000 0.01583 
0.05388 0.10000 0.01701 
0.05367 0.10000 0.01736 
0.05288 0.10000 0.01846 
0.05274 0.10000 0.01865 
0.05260 0.10000 0.01881 
0.05182 0.10000 0.01968 
0.05154 0.10000 0.01992 
0.05048 0.10000 0.02079 
0.05001 0.10000 0.02112 
0.04891 0.10000 0.02191 
0.04807 0.10000 0.02245 
0.04760 0.10000 0.02278 
0.04662 0.10000 0.02341 
0.04619 0.10000 0.02371 
0.04589 0.10000 0.02393 
0.04476 0.10000 0.02481 
0.04386 0.10000 0.02551 
0.04365 0.10000 0.02569 
0.04279 0.10000 0.02651 
0.04258 0.10000 0.02671 
0.04254 0.10000 0.02676 
0.04128 0.10000 0.02808 
0.04081 0.10000 0.02850 
0.04003 0.10000 0.02908 
0.03923 0.10000 0.02966 
0.03759 0.10000 0.03029 
0.03730 0.10000 0.03041 
0.03692 0.10000 0.03052 
0.03520 0.10000 0.03102 
0.03411 0.10000 0.03139 
0.03333 0.10000 0.03163 
0.03219 0.10000 0.03210 
0.03137 0.10000 0.03248 
0.03092 0.10000 0.03281 
0.02988 0.10000 0.03347 
0.02946 0.10000 0.03365 
0.02786 0.10000 0.03398 
0.02769 0.10000 0.03399 
0.02701 0.10000 0.03390 
0.02578 0.10000 0.03376 
0.02545 0.10000 0.03371 
0.02427 0.10000 0.03353 
0.02357 0.10000 0.03349 
0.02258 0.10000 0.03349 
0.02096 0.10000 0.03354 
0.02066 0.10000 0.03357 
0.01910 0.10000 0.03376 
0.01874 0.10000 0.03380 
0.01869 0.10000 0.03381 
0.01687 0.10000 0.03393 
0.01631 0.10000 0.03411 
0.01507 0.10000 0.03480 
