#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 5
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_SINGLE_LAYER"
1.02809 0.10000 -0.00000 
1.02809 0.10000 -0.00000 
1.02807 0.10000 -0.00000 
1.02803 0.10000 -0.00001 
1.02799 0.10000 -0.00001 
1.02793 0.10000 -0.00002 
1.02786 0.10000 -0.00003 
1.02777 0.10000 -0.00004 
1.02767 0.10000 -0.00005 
1.02756 0.10000 -0.00007 
1.02743 0.10000 -0.00009 
1.02728 0.10000 -0.00010 
1.02712 0.10000 -0.00013 
1.02694 0.10000 -0.00015 
1.02675 0.10000 -0.00017 
1.02654 0.10000 -0.00020 
1.02631 0.10000 -0.00023 
1.02606 0.10000 -0.00026 
1.02579 0.10000 -0.00030 
1.02550 0.10000 -0.00033 
1.02519 0.10000 -0.00037 
1.02486 0.10000 -0.00042 
1.02450 0.10000 -0.00046 
1.02412 0.10000 -0.00051 
1.02371 0.10000 -0.00056 
1.02327 0.10000 -0.00062 
1.02280 0.10000 -0.00068 
1.02230 0.10000 -0.00074 
1.02177 0.10000 -0.00081 
1.02120 0.10000 -0.00088 
1.02059 0.10000 -0.00096 
1.01994 0.10000 -0.00104 
1.01925 0.10000 -0.00113 
1.01852 0.10000 -0.00122 
1.01773 0.10000 -0.00132 
1.01690 0.10000 -0.00143 
1.01601 0.10000 -0.00154 
1.01506 0.10000 -0.00166 
1.01405 0.10000 -0.00178 
1.01297 0.10000 -0.00192 
1.01183 0.10000 -0.00206 
1.01060 0.10000 -0.00221 
1.00930 0.10000 -0.00237 
1.00791 0.10000 -0.00255 
1.00643 0.10000 -0.00273 
1.00485 0.10000 -0.00292 
1.00317 0.10000 -0.00313 
1.00137 0.10000 -0.00335 
0.99946 0.10000 -0.00359 
0.99742 0.10000 -0.00384 
0.99524 0.10000 -0.00410 
0.99292 0.10000 -0.00439 
0.99044 0.10000 -0.00469 
0.98780 0.10000 -0.00502 
0.98499 0.10000 -0.00536 
0.98198 0.10000 -0.00573 
0.97878 0.10000 -0.00613 
0.97537 0.10000 -0.00655 
0.97174 0.10000 -0.00700 
0.96786 0.10000 -0.00748 
0.96374 0.10000 -0.00799 
0.95934 0.10000 -0.00853 
0.95466 0.10000 -0.00910 
0.94969 0.10000 -0.00971 
0.94439 0.10000 -0.01035 
0.93877 0.10000 -0.01103 
0.93279 0.10000 -0.01175 
0.92644 0.10000 -0.01250 
0.91971 0.10000 -0.01329 
0.91258 0.10000 -0.01411 
0.90502 0.10000 -0.01497 
0.89703 0.10000 -0.01587 
0.88858 0.10000 -0.01680 
0.87966 0.10000 -0.01777 
0.87026 0.10000 -0.01878 
0.86035 0.10000 -0.01981 
0.84994 0.10000 -0.02088 
0.83901 0.10000 -0.02198 
0.82755 0.10000 -0.02311 
0.81556 0.10000 -0.02428 
0.80304 0.10000 -0.02547 
0.78998 0.10000 -0.02669 
0.77640 0.10000 -0.02793 
0.76230 0.10000 -0.02920 
0.74768 0.10000 -0.03049 
0.73258 0.10000 -0.03179 
0.71701 0.10000 -0.03310 
0.70099 0.10000 -0.03442 
0.68456 0.10000 -0.03573 
0.66774 0.10000 -0.03702 
0.65058 0.10000 -0.03829 
0.63311 0.10000 -0.03952 
0.61539 0.10000 -0.04069 
0.59746 0.10000 -0.04180 
0.57937 0.10000 -0.04283 
0.56117 0.10000 -0.04376 
0.54291 0.10000 -0.04460 
0.52466 0.10000 -0.04532 
0.50646 0.10000 -0.04593 
0.48837 0.10000 -0.04642 
0.47043 0.10000 -0.04679 
0.45271 0.10000 -0.04704 
0.43525 0.10000 -0.04718 
0.41809 0.10000 -0.04722 
0.40127 0.10000 -0.04715 
0.38484 0.10000 -0.04700 
0.36882 0.10000 -0.04676 
0.35325 0.10000 -0.04646 
0.33814 0.10000 -0.04609 
0.32353 0.10000 -0.04566 
0.30943 0.10000 -0.04519 
0.29584 0.10000 -0.04467 
0.28278 0.10000 -0.04413 
0.27026 0.10000 -0.04355 
0.25827 0.10000 -0.04294 
0.24681 0.10000 -0.04232 
0.23588 0.10000 -0.04168 
0.22547 0.10000 -0.04102 
0.21557 0.10000 -0.04035 
0.20617 0.10000 -0.03967 
0.19725 0.10000 -0.03898 
0.18880 0.10000 -0.03829 
0.18081 0.10000 -0.03760 
0.17325 0.10000 -0.03691 
0.16611 0.10000 -0.03622 
0.15938 0.10000 -0.03553 
0.15304 0.10000 -0.03486 
0.14706 0.10000 -0.03419 
0.14143 0.10000 -0.03353 
0.13614 0.10000 -0.03289 
0.13116 0.10000 -0.03225 
0.12649 0.10000 -0.03164 
0.12209 0.10000 -0.03104 
0.11796 0.10000 -0.03045 
0.11409 0.10000 -0.02989 
0.11045 0.10000 -0.02934 
0.10653 0.10031 -0.03206 
0.10271 0.10070 -0.03533 
0.09906 0.10109 -0.03843 
0.09539 0.10162 -0.04235 
0.09213 0.10199 -0.04433 
0.08923 0.10223 -0.04481 
0.08654 0.10245 -0.04470 
0.08394 0.10269 -0.04453 
0.08141 0.10296 -0.04433 
0.07898 0.10326 -0.04404 
0.07664 0.10357 -0.04364 
0.07442 0.10388 -0.04310 
0.07232 0.10418 -0.04240 
0.07035 0.10445 -0.04153 
0.06852 0.10470 -0.04050 
0.06686 0.10490 -0.03931 
0.06534 0.10506 -0.03801 
0.06398 0.10518 -0.03661 
0.06277 0.10525 -0.03515 
0.06170 0.10528 -0.03365 
0.06077 0.10527 -0.03212 
0.05995 0.10522 -0.03060 
0.05923 0.10515 -0.02909 
0.05860 0.10506 -0.02760 
0.05807 0.10494 -0.02615 
0.05761 0.10480 -0.02474 
0.05724 0.10464 -0.02337 
0.05692 0.10447 -0.02204 
0.05665 0.10429 -0.02077 
0.05643 0.10411 -0.01954 
0.05625 0.10392 -0.01837 
0.05610 0.10374 -0.01725 
0.05598 0.10355 -0.01617 
0.05589 0.10337 -0.01514 
0.05582 0.10318 -0.01416 
0.05577 0.10301 -0.01323 
0.05572 0.10284 -0.01234 
0.05569 0.10268 -0.01149 
0.05565 0.10254 -0.01069 
0.05558 0.10242 -0.00994 
0.05544 0.10236 -0.00925 
0.05520 0.10236 -0.00864 
0.05493 0.10239 -0.00806 
0.05471 0.10241 -0.00747 
