#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Final Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3933, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3127 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.8947 million (based on MAC)
#                       Freestream Temp: 270.95 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"
                                              
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p5mm_SINGLE_LAYER"
0.5324723850 0.9143999820 -0.0272356289
0.5321195630 0.9143999820 -0.0271607501
0.5315550210 0.9143999820 -0.0270410746
0.5306517340 0.9143999820 -0.0268496807
0.5292063590 0.9143999820 -0.0265440024
0.5268934320 0.9143999820 -0.0260564607
0.5231920690 0.9143999820 -0.0252796324
0.5194846330 0.9143999820 -0.0245061021
0.5157763060 0.9143999820 -0.0237368569
0.5120671290 0.9143999820 -0.0229717236
0.5083570920 0.9143999820 -0.0222107657
0.5046462260 0.9143999820 -0.0214538662
0.5009345710 0.9143999820 -0.0207008390
0.4972220860 0.9143999820 -0.0199519177
0.4935088220 0.9143999820 -0.0192068688
0.4897947680 0.9143999820 -0.0184657721
0.4860799580 0.9143999820 -0.0177284655
0.4823643990 0.9143999820 -0.0169949494
0.4786480930 0.9143999820 -0.0162652253
0.4749310590 0.9143999820 -0.0155392161
0.4712133040 0.9143999820 -0.0148169104
0.4674948450 0.9143999820 -0.0140982400
0.4637756930 0.9143999820 -0.0133831621
0.4600558280 0.9143999820 -0.0126718043
0.4563352960 0.9143999820 -0.0119639393
0.4526140820 0.9143999820 -0.0112596694
0.4488922030 0.9143999820 -0.0105589263
0.4451696620 0.9143999820 -0.0098617059
0.4414464780 0.9143999820 -0.0091679248
0.4377226240 0.9143999820 -0.0084777551
0.4339981410 0.9143999820 -0.0077909830
0.4302730290 0.9143999820 -0.0071076325
0.4265472600 0.9143999820 -0.0064278715
0.4228208710 0.9143999820 -0.0057515187
0.4190938640 0.9143999820 -0.0050785830
0.4153662380 0.9143999820 -0.0044090805
0.4116379870 0.9143999820 -0.0037430647
0.4079091120 0.9143999820 -0.0030805588
0.4041796240 0.9143999820 -0.0024215062
0.4004495250 0.9143999820 -0.0017659266
0.3967188150 0.9143999820 -0.0011138297
0.3929874930 0.9143999820 -0.0004652425
0.3892555620 0.9143999820 0.0001798300
0.3855230200 0.9143999820 0.0008213567
0.3817898670 0.9143999820 0.0014593202
0.3780561010 0.9143999820 0.0020936837
0.3743217230 0.9143999820 0.0027244355
0.3705867300 0.9143999820 0.0033515394
0.3668511210 0.9143999820 0.0039749594
0.3631148940 0.9143999820 0.0045946651
0.3593780480 0.9143999820 0.0052106282
0.3556405870 0.9143999820 0.0058228463
0.3519024890 0.9143999820 0.0064311627
0.3481637600 0.9143999820 0.0070355930
0.3444243910 0.9143999820 0.0076360485
0.3406843860 0.9143999820 0.0082325272
0.3369437390 0.9143999820 0.0088249745
0.3332024460 0.9143999820 0.0094133200
0.3294604930 0.9143999820 0.0099974564
0.3257178860 0.9143999820 0.0105773871
0.3219746180 0.9143999820 0.0111530410
0.3182306710 0.9143999820 0.0117242590
0.3144860520 0.9143999820 0.0122910544
0.3107407570 0.9143999820 0.0128533650
0.3069947620 0.9143999820 0.0134109934
0.3032480760 0.9143999820 0.0139639569
0.2995006920 0.9143999820 0.0145121732
0.2957525880 0.9143999820 0.0150554452
0.2920037740 0.9143999820 0.0155937956
0.2882542330 0.9143999820 0.0161270597
0.2845039560 0.9143999820 0.0166551193
0.2807529470 0.9143999820 0.0171779598
0.2770011800 0.9143999820 0.0176953309
0.2732486610 0.9143999820 0.0182072197
0.2694953810 0.9143999820 0.0187134931
0.2657413210 0.9143999820 0.0192139547
0.2619864900 0.9143999820 0.0197085975
0.2582308620 0.9143999820 0.0201971573
0.2544744400 0.9143999820 0.0206795648
0.2507172190 0.9143999820 0.0211557208
0.2469591750 0.9143999820 0.0216253296
0.2432003190 0.9143999820 0.0220883953
0.2394406340 0.9143999820 0.0225446740
0.2356801080 0.9143999820 0.0229939747
0.2319187480 0.9143999820 0.0234362425
0.2281565320 0.9143999820 0.0238711674
0.2243934590 0.9143999820 0.0242986115
0.2206295310 0.9143999820 0.0247184572
0.2168647270 0.9143999820 0.0251303804
0.2130990500 0.9143999820 0.0255342400
0.2093324990 0.9143999820 0.0259298701
0.2055650640 0.9143999820 0.0263169850
0.2017967360 0.9143999820 0.0266953155
0.1980275240 0.9143999820 0.0270647316
0.1942574240 0.9143999820 0.0274249689
0.1904864270 0.9143999820 0.0277757047
0.1867145330 0.9143999820 0.0281166496
0.1829417520 0.9143999820 0.0284476331
0.1791680830 0.9143999820 0.0287683314
0.1753935290 0.9143999820 0.0290784429
0.1716180960 0.9143999820 0.0293776565
0.1678417850 0.9143999820 0.0296655939
0.1640646090 0.9143999820 0.0299419413
0.1602865780 0.9143999820 0.0302063460
0.1565077060 0.9143999820 0.0304584388
0.1527280100 0.9143999820 0.0306978707
0.1489475080 0.9143999820 0.0309242057
0.1451662190 0.9143999820 0.0311369996
0.1413841680 0.9143999820 0.0313358011
0.1376013830 0.9143999820 0.0315201008
0.1338178990 0.9143999820 0.0316894228
0.1300337530 0.9143999820 0.0318432691
0.1263649990 0.9143999820 0.0319770938
0.1228704490 0.9143999820 0.0320900519
0.1195418940 0.9143999820 0.0321839829
