#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm.
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 4.0 deg
#                           Mach Number: 0.3151 [-]
#       Mean aerodynamic chord (M.A.C.): 0.5334 [m]
#                       Reynolds Number: 3.9795 million (based on MAC)
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 0.97548 [m2]
#               Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#    ICING CONDITIONS:
#                           Icing Time: 420 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20 [μm]
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999"
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "insert the number of total ice layers"

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_VAR_SINGLE_LAYER"
0.53247 0.91440 -0.02724
0.53177 0.91440 -0.02709
0.53177 0.91440 -0.02709
0.53064 0.91440 -0.02685
0.53064 0.91440 -0.02685
0.52883 0.91440 -0.02646
0.52883 0.91440 -0.02646
0.52594 0.91440 -0.02586
0.52594 0.91440 -0.02586
0.52131 0.91440 -0.02489
0.52131 0.91440 -0.02489
0.51391 0.91440 -0.02335
0.51391 0.91440 -0.02335
0.50577 0.91440 -0.02168
0.50577 0.91440 -0.02168
0.49762 0.91440 -0.02003
0.49762 0.91440 -0.02003
0.49762 0.91440 -0.02003
0.48947 0.91440 -0.01840
0.48132 0.91440 -0.01679
0.48132 0.91440 -0.01679
0.47317 0.91440 -0.01520
0.47317 0.91440 -0.01520
0.46501 0.91440 -0.01362
0.46501 0.91440 -0.01362
0.45685 0.91440 -0.01206
0.45685 0.91440 -0.01206
0.44868 0.91440 -0.01052
0.44868 0.91440 -0.01052
0.44052 0.91440 -0.00900
0.44052 0.91440 -0.00900
0.43235 0.91440 -0.00749
0.43235 0.91440 -0.00749
0.42417 0.91440 -0.00600
0.42417 0.91440 -0.00600
0.41599 0.91440 -0.00452
0.41599 0.91440 -0.00452
0.40781 0.91440 -0.00306
0.40781 0.91440 -0.00306
0.40781 0.91440 -0.00306
0.39963 0.91440 -0.00162
0.39144 0.91440 -0.00020
0.39144 0.91440 -0.00020
0.38326 0.91440 0.00121
0.38326 0.91440 0.00121
0.37506 0.91440 0.00260
0.37506 0.91440 0.00260
0.36687 0.91440 0.00397
0.36687 0.91440 0.00397
0.35867 0.91440 0.00533
0.35867 0.91440 0.00533
0.35047 0.91440 0.00666
0.35047 0.91440 0.00666
0.34227 0.91440 0.00798
0.34227 0.91440 0.00798
0.33406 0.91440 0.00928
0.33406 0.91440 0.00928
0.33406 0.91440 0.00928
0.32585 0.91440 0.01056
0.32585 0.91440 0.01056
0.31763 0.91440 0.01181
0.31763 0.91440 0.01181
0.30942 0.91440 0.01305
0.30942 0.91440 0.01305
0.30120 0.91440 0.01426
0.30120 0.91440 0.01426
0.29297 0.91440 0.01545
0.29297 0.91440 0.01545
0.28475 0.91440 0.01662
0.28475 0.91440 0.01662
0.27652 0.91440 0.01776
0.27652 0.91440 0.01776
0.26828 0.91440 0.01888
0.26828 0.91440 0.01888
0.26005 0.91440 0.01996
0.26005 0.91440 0.01996
0.25180 0.91440 0.02102
0.25180 0.91440 0.02102
0.24356 0.91440 0.02204
0.23531 0.91440 0.02304
0.23531 0.91440 0.02304
0.23531 0.91440 0.02304
0.22706 0.91440 0.02400
0.22706 0.91440 0.02400
0.21880 0.91440 0.02492
0.21880 0.91440 0.02492
0.21054 0.91440 0.02580
0.20227 0.91440 0.02665
0.20227 0.91440 0.02665
0.19400 0.91440 0.02745
