#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "1"
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_0p5mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p75_BINS01_KS_0p5mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_1p4_BINS01_KS_0p5mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p1_BINS03_KS_0p5mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p75_BINS03_KS_0p5mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_1p4_BINS03_KS_0p5mm_SINGLE_LAYER"
-999 -999 -999

ZONE T="SLICE_Y_0p1_BINS07_KS_0p5mm_SINGLE_LAYER"
1.02809 0.10000 0.00000
1.02783 0.10000 0.00003
1.02767 0.10000 0.00005
1.02682 0.10000 0.00016
1.02631 0.10000 0.00023
1.02534 0.10000 0.00035
1.02371 0.10000 0.00056
1.02205 0.10000 0.00077
1.01925 0.10000 0.00113
1.01649 0.10000 0.00148
1.01183 0.10000 0.00206
1.00723 0.10000 0.00263
0.99946 0.10000 0.00359
0.99177 0.10000 0.00453
0.97878 0.10000 0.00613
0.96600 0.10000 0.00770
0.94439 0.10000 0.01035
0.90933 0.10000 0.01441
0.88858 0.10000 0.01680
0.85678 0.10000 0.02003
0.80304 0.10000 0.02547
0.75899 0.10000 0.02928
0.68456 0.10000 0.03573
0.63190 0.10000 0.03903
0.54291 0.10000 0.04460
0.49026 0.10000 0.04555
0.40127 0.10000 0.04715
0.35722 0.10000 0.04603
0.28278 0.10000 0.04413
0.25099 0.10000 0.04221
0.19725 0.10000 0.03898
0.17650 0.10000 0.03696
0.14143 0.10000 0.03353
0.11983 0.10000 0.03057
0.10704 0.10000 0.02882
0.09331 0.10000 0.02857
0.08466 0.10000 0.02961
0.07339 0.10000 0.03159
0.06646 0.10000 0.03233
0.05839 0.10000 0.02969
0.05430 0.10000 0.02751
0.05101 0.10000 0.02214
0.04943 0.10000 0.01913
0.04842 0.10000 0.01407
0.04773 0.10000 0.01166
0.04780 0.10000 0.00942
0.04776 0.10000 0.00548
0.04793 0.10000 0.00223
0.04823 0.10000 0.00018
0.04897 0.10000 -0.00309
0.04938 0.10000 -0.00497
0.05043 0.10000 -0.00831
0.05100 0.10000 -0.01026
0.05261 0.10000 -0.01405
0.05344 0.10000 -0.01639
0.05631 0.10000 -0.02088
0.05808 0.10000 -0.02362
0.06363 0.10000 -0.02837
0.06709 0.10000 -0.03095
0.07685 0.10000 -0.03393
0.08244 0.10000 -0.03558
0.09740 0.10000 -0.03456
0.10604 0.10000 -0.03345
0.11916 0.10000 -0.03343
0.14143 0.10000 -0.03353
0.16218 0.10000 -0.03556
0.19725 0.10000 -0.03898
0.22905 0.10000 -0.04089
0.28278 0.10000 -0.04413
0.35722 0.10000 -0.04603
0.40127 0.10000 -0.04715
0.49026 0.10000 -0.04555
0.54291 0.10000 -0.04460
0.63190 0.10000 -0.03903
0.68456 0.10000 -0.03573
0.72860 0.10000 -0.03192
0.80304 0.10000 -0.02547
0.83484 0.10000 -0.02225
0.88858 0.10000 -0.01680
0.92364 0.10000 -0.01275
0.94439 0.10000 -0.01035
0.96600 0.10000 -0.00770
0.97878 0.10000 -0.00613
0.99177 0.10000 -0.00453
0.99946 0.10000 -0.00359
1.00723 0.10000 -0.00263
1.01183 0.10000 -0.00206
1.01649 0.10000 -0.00148
1.01925 0.10000 -0.00113
1.02205 0.10000 -0.00077
1.02371 0.10000 -0.00056
1.02534 0.10000 -0.00035
1.02631 0.10000 -0.00023
1.02716 0.10000 -0.00012
1.02767 0.10000 -0.00005
1.02794 0.10000 -0.00002
1.02809 0.10000 0.00000

ZONE T="SLICE_Y_0p75_BINS07_KS_0p5mm_SINGLE_LAYER"
1.21070 0.75000 0.00000
1.21060 0.75000 0.00001
1.21036 0.75000 0.00004
1.21005 0.75000 0.00008
1.20927 0.75000 0.00018
1.20778 0.75000 0.00038
1.20719 0.75000 0.00045
1.20617 0.75000 0.00058
1.20361 0.75000 0.00090
1.20193 0.75000 0.00112
1.19766 0.75000 0.00165
1.19485 0.75000 0.00200
1.18775 0.75000 0.00287
1.18305 0.75000 0.00345
1.17118 0.75000 0.00491
1.15144 0.75000 0.00734
1.14362 0.75000 0.00830
1.11158 0.75000 0.01200
1.09888 0.75000 0.01347
1.07943 0.75000 0.01544
1.03033 0.75000 0.02041
1.00338 0.75000 0.02275
0.93537 0.75000 0.02864
0.85406 0.75000 0.03373
0.82185 0.75000 0.03574
0.74054 0.75000 0.03721
0.70833 0.75000 0.03779
0.64031 0.75000 0.03605
0.61337 0.75000 0.03536
0.56427 0.75000 0.03241
0.54481 0.75000 0.03124
0.51277 0.75000 0.02811
0.50008 0.75000 0.02687
0.49226 0.75000 0.02580
0.47252 0.75000 0.02310
0.45920 0.75000 0.02511
0.45403 0.75000 0.02534
0.44933 0.75000 0.02663
0.43702 0.75000 0.02992
0.42993 0.75000 0.02674
0.42613 0.75000 0.02572
0.42336 0.75000 0.02034
0.42195 0.75000 0.01787
0.42122 0.75000 0.01312
0.42087 0.75000 0.01088
0.42104 0.75000 0.00902
0.42148 0.75000 0.00499
0.42181 0.75000 0.00343
0.42253 0.75000 -0.00000
0.42290 0.75000 -0.00142
0.42375 0.75000 -0.00458
0.42416 0.75000 -0.00604
0.42510 0.75000 -0.00930
0.42573 0.75000 -0.01098
0.42711 0.75000 -0.01474
0.42986 0.75000 -0.01912
0.43109 0.75000 -0.02107
0.43650 0.75000 -0.02553
0.43889 0.75000 -0.02745
0.44755 0.75000 -0.03085
0.45131 0.75000 -0.03227
0.46472 0.75000 -0.03318
0.47029 0.75000 -0.03308
0.49128 0.75000 -0.03056
0.49963 0.75000 -0.02972
0.51245 0.75000 -0.03050
0.54481 0.75000 -0.03124
0.59391 0.75000 -0.03419
0.61337 0.75000 -0.03536
0.68138 0.75000 -0.03710
0.70833 0.75000 -0.03779
0.78963 0.75000 -0.03632
0.82185 0.75000 -0.03574
0.90315 0.75000 -0.03065
0.93537 0.75000 -0.02864
1.00338 0.75000 -0.02275
1.03033 0.75000 -0.02041
1.07943 0.75000 -0.01544
1.09888 0.75000 -0.01347
1.13092 0.75000 -0.00977
1.14362 0.75000 -0.00830
1.15144 0.75000 -0.00734
1.17118 0.75000 -0.00491
1.17588 0.75000 -0.00433
1.18775 0.75000 -0.00287
1.19485 0.75000 -0.00200
1.19766 0.75000 -0.00165
1.20193 0.75000 -0.00112
1.20361 0.75000 -0.00090
1.20463 0.75000 -0.00078
1.20719 0.75000 -0.00045
1.20778 0.75000 -0.00038
1.20927 0.75000 -0.00018
1.20958 0.75000 -0.00014
1.21036 0.75000 -0.00004
1.21046 0.75000 -0.00003
1.21070 0.75000 0.00000

ZONE T="SLICE_Y_1p4_BINS07_KS_0p5mm_SINGLE_LAYER"
1.39331 1.40000 0.00000
1.39325 1.40000 0.00001
1.39305 1.40000 0.00003
1.39288 1.40000 0.00005
1.39223 1.40000 0.00014
1.39099 1.40000 0.00030
