#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case ONERAM6, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED [m]:  X-coordinate of the iced surface
#             Y_ICED [m]:  Y-coordinate of the iced surface
#             Z_ICED [m]:  Z-coordinate of the iced surface
#
#                XXmm:  Roughness height used for the case, in mm.
#                       In the zone name, use the format KS_XXmm.
#                       For example, if k_s = 1.5 mm, use KS_1p5mm. 
#                       For Variable roughness, use KS_VAR
#
#    FLOW CONDITIONS:
#                                   AOA: 2.0 deg
#                           Mach Number: 0.4 [-]
#       Mean aerodynamic chord (M.A.C.): 0.801673 [m]
#                       Reynolds Number: 4.2558 million (based on MAC)
#                       Freestream Temp: 267.15 [K]
#                        Reference area: 1.1532 [m2]
#               Moment Reference Center: 0.25, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = 6
VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_FINAL_LAYER"
1.02809 0.10000 0.00000 
1.02803 0.10000 -0.00001 
1.02803 0.10000 -0.00001 
1.02809 0.10000 0.00000 
1.02803 0.10000 0.00001 
1.02777 0.10000 0.00004 
1.02759 0.10000 0.00006 
1.02746 0.10000 0.00008 
1.02717 0.10000 0.00012 
1.02714 0.10000 0.00012 
1.02708 0.10000 0.00013 
1.02682 0.10000 0.00016 
1.02674 0.10000 0.00017 
1.02650 0.10000 0.00020 
1.02630 0.10000 0.00023 
1.02618 0.10000 0.00025 
1.02587 0.10000 0.00029 
1.02585 0.10000 0.00029 
1.02579 0.10000 0.00030 
1.02552 0.10000 0.00033 
1.02544 0.10000 0.00034 
1.02519 0.10000 0.00037 
1.02501 0.10000 0.00040 
1.02484 0.10000 0.00042 
1.02457 0.10000 0.00045 
1.02447 0.10000 0.00046 
1.02411 0.10000 0.00051 
1.02410 0.10000 0.00051 
1.02400 0.10000 0.00053 
1.02368 0.10000 0.00057 
1.02365 0.10000 0.00057 
1.02325 0.10000 0.00062 
1.02313 0.10000 0.00064 
1.02280 0.10000 0.00068 
1.02233 0.10000 0.00074 
1.02233 0.10000 0.00074 
1.02233 0.10000 0.00074 
1.02183 0.10000 0.00080 
1.02145 0.10000 0.00085 
1.02130 0.10000 0.00087 
1.02067 0.10000 0.00095 
1.02059 0.10000 0.00096 
1.02048 0.10000 0.00097 
1.01983 0.10000 0.00106 
1.01917 0.10000 0.00114 
1.01903 0.10000 0.00116 
1.01878 0.10000 0.00119 
1.01812 0.10000 0.00127 
1.01775 0.10000 0.00132 
1.01709 0.10000 0.00140 
1.01636 0.10000 0.00149 
1.01597 0.10000 0.00154 
1.01515 0.10000 0.00165 
1.01497 0.10000 0.00167 
1.01435 0.10000 0.00174 
1.01379 0.10000 0.00182 
1.01372 0.10000 0.00182 
1.01218 0.10000 0.00202 
1.01213 0.10000 0.00202 
1.01034 0.10000 0.00224 
1.01029 0.10000 0.00225 
1.00825 0.10000 0.00250 
1.00822 0.10000 0.00251 
1.00764 0.10000 0.00258 
1.00593 0.10000 0.00279 
1.00583 0.10000 0.00280 
1.00341 0.10000 0.00310 
1.00300 0.10000 0.00315 
1.00047 0.10000 0.00346 
0.99964 0.10000 0.00356 
0.99643 0.10000 0.00396 
0.99626 0.10000 0.00398 
0.99543 0.10000 0.00408 
0.99273 0.10000 0.00441 
0.99220 0.10000 0.00448 
0.98892 0.10000 0.00488 
0.98767 0.10000 0.00503 
0.98470 0.10000 0.00540 
0.98272 0.10000 0.00564 
0.97996 0.10000 0.00598 
0.97728 0.10000 0.00631 
0.97451 0.10000 0.00666 
0.97119 0.10000 0.00707 
0.96818 0.10000 0.00744 
0.96405 0.10000 0.00795 
0.96086 0.10000 0.00834 
0.95473 0.10000 0.00909 
0.95454 0.10000 0.00912 
0.94726 0.10000 0.01000 
0.94578 0.10000 0.01018 
0.94082 0.10000 0.01078 
0.93678 0.10000 0.01127 
0.93501 0.10000 0.01148 
0.92771 0.10000 0.01234 
0.92077 0.10000 0.01315 
0.91768 0.10000 0.01351 
0.90949 0.10000 0.01446 
0.90638 0.10000 0.01482 
0.90533 0.10000 0.01493 
0.89517 0.10000 0.01607 
0.88870 0.10000 0.01678 
0.88482 0.10000 0.01720 
0.87872 0.10000 0.01785 
0.86945 0.10000 0.01883 
0.86870 0.10000 0.01891 
0.86781 0.10000 0.01901 
0.85870 0.10000 0.01996 
0.84972 0.10000 0.02088 
0.84754 0.10000 0.02110 
0.84548 0.10000 0.02131 
0.83658 0.10000 0.02220 
0.83010 0.10000 0.02284 
0.82544 0.10000 0.02330 
0.81949 0.10000 0.02387 
0.81485 0.10000 0.02432 
0.80989 0.10000 0.02479 
0.80459 0.10000 0.02530 
0.79884 0.10000 0.02584 
0.79393 0.10000 0.02630 
0.79027 0.10000 0.02664 
0.78303 0.10000 0.02731 
0.77381 0.10000 0.02816 
0.77275 0.10000 0.02825 
0.77126 0.10000 0.02838 
0.76295 0.10000 0.02912 
0.75437 0.10000 0.02987 
0.75389 0.10000 0.02992 
0.75355 0.10000 0.02995 
0.74468 0.10000 0.03072 
0.74156 0.10000 0.03099 
0.73419 0.10000 0.03162 
0.72960 0.10000 0.03201 
0.72281 0.10000 0.03258 
0.71746 0.10000 0.03303 
0.71081 0.10000 0.03358 
0.70380 0.10000 0.03415 
0.69971 0.10000 0.03448 
0.69140 0.10000 0.03515 
0.68743 0.10000 0.03546 
0.67954 0.10000 0.03607 
0.67353 0.10000 0.03653 
0.66770 0.10000 0.03698 
0.65879 0.10000 0.03764 
0.65568 0.10000 0.03786 
0.64875 0.10000 0.03837 
0.64369 0.10000 0.03873 
0.64168 0.10000 0.03887 
0.62993 0.10000 0.03966 
0.62788 0.10000 0.03980 
0.61784 0.10000 0.04046 
0.61418 0.10000 0.04069 
0.60645 0.10000 0.04117 
0.60263 0.10000 0.04140 
0.59889 0.10000 0.04162 
0.59120 0.10000 0.04208 
0.58717 0.10000 0.04230 
