TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
-0.985738784125 14
-0.985638285368 13
-0.985315795059 12
-0.984760007329 11
-0.983943857833 10
-0.982815141748 9
-0.981322995643 8
-0.979366953721 7
-0.976826717512 6
-0.973560879181 5
-0.969348658864 4
-0.963907252796 3
-0.956884397251 2
-0.947797571623 1
-0.93604898873 0
-0.901401037852 94
-0.876546541277 93
-0.845219284774 92
-0.806364478122 91
-0.759240406778 90
-0.703653267978 89
-0.640306172543 88
-0.570968540625 87
-0.498383152977 86
-0.425870074847 85
-0.356709137895 84
-0.293570239425 83
-0.23817555376 82
-0.19121160482 81
-0.152487363058 80
-0.121225290191 79
-0.0963991245583 78
-0.0768994912284 77
-0.0616866381101 76
-0.0498630515138 75
-0.0406465608585 74
-0.0333612811795 73
-0.0274996773035 72
-0.0226896045389 71
-0.0186731259818 70
-0.0152754503057 69
-0.0123497538074 68
-0.00979114090196 67
-0.0075212290094 66
-0.00546497027081 65
-0.00358281724834 64
-0.00183330303005 63
0 62
0.00183330303005 61
0.00358281724834 60
0.00546497027081 59
0.0075212290094 58
0.00979114090196 57
0.0123497538074 56
0.0152754503057 55
0.0186731259818 54
0.0226896045389 53
0.0274996773035 52
0.0333612811795 51
0.0406465608585 50
0.0498630515138 49
0.0616866381101 48
0.0768994912284 47
0.0963991245583 46
0.121225290191 45
0.152487363058 44
0.19121160482 43
0.23817555376 42
0.293570239425 41
0.356709137895 40
0.425870074847 39
0.498383152977 38
0.570968540625 37
0.640306172543 36
0.703653267978 35
0.759240406778 34
0.806364478122 33
0.845219284774 32
0.876546541277 31
0.901401037852 30
0.92089442391 29
0.936049000777 28
0.94779758367 27
0.956884409298 26
0.963907264843 25
0.969348670911 24
0.973560891228 23
0.976826729559 22
0.979366965768 21
0.98132300769 20
0.982815153795 19
0.98394386988 18
0.984760019376 17
0.985315807105 16
0.985638297415 15

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_CUTDATA"
-0.790033373829 16
-0.789952751251 15
-0.789691026205 14
-0.789246954139 13
-0.788592049565 12
-0.787693996115 11
-0.78649457959 10
-0.78492181133 9
-0.782886399824 8
-0.780265541186 7
-0.776889315482 6
-0.772535696298 5
-0.766904488612 4
-0.759619915873 3
-0.750209384538 2
-0.738057689183 1
-0.722441671765 0
-0.677403948688 94
-0.646271738679 93
-0.608503008227 92
-0.563951270887 91
-0.513186399174 90
-0.457614411627 89
-0.399440147557 88
-0.341323491597 87
-0.285892732988 86
-0.235285594163 85
-0.19089746512 84
-0.153256401107 83
-0.122211167979 82
-0.0971634814587 81
-0.0772658936652 80
-0.0616386706234 79
-0.0494480184669 78
-0.039965460795 77
-0.0325809567494 76
-0.0267381748777 75
-0.0220373451637 74
-0.0181860466814 73
-0.0149716882695 72
-0.0122392900555 71
-0.00990155611 70
-0.00785094644456 69
-0.00602389964713 68
-0.00437994101018 67
-0.00286465225882 66
-0.00146219013811 65
0 64
0.00146219013811 63
0.00286465225882 62
0.00437994101018 61
0.00602389964713 60
0.00785094644456 59
0.00990155611 58
0.0122392900555 57
0.0149716882695 56
0.0181860466814 55
0.0220373451637 54
0.0267381748777 53
0.0325809567494 52
0.039965460795 51
0.0494480184669 50
0.0616386706234 49
0.0772658936652 48
0.0971634814587 47
0.122211167979 46
0.153256401107 45
0.19089746512 44
0.235285594163 43
0.285892732988 42
0.341323491597 41
0.399440147557 40
0.457614411627 39
0.513186399174 38
0.563951270887 37
0.608503008227 36
0.646271738679 35
0.677403948688 34
0.70252274643 33
0.722441855345 32
0.738057872763 31
0.750209568118 30
0.759620099453 29
0.766904672193 28
0.772535879878 27
0.776889499063 26
0.780265724766 25
0.782886583404 24
0.78492199491 23
0.78649476317 22
0.787694179695 21
0.788592233146 20
0.789247137719 19
0.789691209785 18
0.789952934832 17

ZONE T="SLICE_Y_1p4_BINS01_KS_1mm_CUTDATA"
-0.594326707409 32
-0.594255996731 31
-0.594064946999 30
-0.593731180614 29
-0.593237520812 28
-0.592562761596 27
-0.591654796839 26
-0.590475220643 25
-0.588953313945 24
-0.586977434394 23
-0.584438438529 22
-0.581152757473 21
-0.576921906495 20
-0.571440802592 19
-0.564368320708 18
-0.555218276992 17
-0.543472128687 16
-0.528487226285 15
-0.509597882728 14
-0.486178324663 13
-0.457762989014 12
-0.424246652699 11
-0.386055695654 10
-0.344248637638 9
-0.300484958633 8
-0.256765027252 7
-0.21506444692 6
-0.176999066323 5
-0.143607854904 4
-0.115289675231 3
-0.0919327297975 2
-0.0730894684025 1
-0.0581215426945 0
-0.0371965480708 94
-0.0300682032419 93
-0.0245038074975 92
-0.0201159948306 91
-0.0165851450745 90
-0.0136789792155 89
-0.0112667395923 88
-0.00920700659989 87
-0.00744311884836 86
-0.00590864825561 85
-0.00452937308365 84
-0.00329770754463 83
-0.00215884846643 82
-0.00110163514831 81
0 80
0.00110163514831 79
0.00215884846643 78
0.00329770754463 77
0.00452937308365 76
0.00590864825561 75
0.00744311884836 74
0.00920700659989 73
0.0112667395923 72
0.0136789792155 71
0.0165851450745 70
0.0201159948306 69
0.0245038074975 68
0.0300682032419 67
0.0371965480708 66
0.0463649994123 65
0.058122367315 64
0.073090293023 63
0.091933554418 62
0.115290499852 61
0.143608679525 60
0.176999890944 59
0.215065271541 58
0.256765851872 57
0.300485783254 56
0.344249462258 55
0.386056520275 54
0.42424747732 53
0.457763813635 52
0.486179149283 51
0.509598707349 50
0.528488050906 49
0.543472953308 48
0.555219101612 47
0.564369145328 46
0.571441627212 45
0.576922731116 44
0.581153582094 43
0.58443926315 42
0.586978259014 41
0.588954138565 40
0.590476045264 39
0.591655621459 38
0.592563586216 37
0.593238345432 36
0.593732005234 35
0.59406577162 34
0.594256821351 33

ZONE T="SLICE_Y_0p1_BINS03_KS_1mm_CUTDATA"
-0.985738784125 14
-0.985638285368 13
-0.985315795059 12
-0.984760007329 11
-0.983943857833 10
-0.982815141748 9
-0.981322995643 8
-0.979366953721 7
-0.976826717512 6
-0.973560879181 5
-0.969348658864 4
-0.963907252796 3
-0.956884397251 2
-0.947797571623 1
-0.93604898873 0
-0.901401037852 94
-0.876546541277 93
-0.845219284774 92
-0.806364478122 91
-0.759240406778 90
-0.703653267978 89
-0.640306172543 88
-0.570968540625 87
-0.498383152977 86
-0.425870074847 85
-0.356709137895 84
-0.293570239425 83
-0.23817555376 82
-0.19121160482 81
-0.152487363058 80
-0.121225290191 79
-0.0963991245583 78
-0.0768994912284 77
-0.0616866381101 76
-0.0498630515138 75
-0.0406465608585 74
-0.0333612811795 73
-0.0274996773035 72
-0.0226896045389 71
-0.0186731259818 70
-0.0152754503057 69
-0.0123497538074 68
-0.00979114090196 67
-0.0075212290094 66
-0.00546497027081 65
-0.00358281724834 64
-0.00183330303005 63
0 62
0.00183330303005 61
0.00358281724834 60
0.00546497027081 59
0.0075212290094 58
0.00979114090196 57
0.0123497538074 56
0.0152754503057 55
0.0186731259818 54
0.0226896045389 53
0.0274996773035 52
0.0333612811795 51
0.0406465608585 50
0.0498630515138 49
0.0616866381101 48
0.0768994912284 47
0.0963991245583 46
0.121225290191 45
0.152487363058 44
0.19121160482 43
0.23817555376 42
0.293570239425 41
0.356709137895 40
0.425870074847 39
0.498383152977 38
0.570968540625 37
0.640306172543 36
0.703653267978 35
0.759240406778 34
0.806364478122 33
0.845219284774 32
0.876546541277 31
0.901401037852 30
0.92089442391 29
0.936049000777 28
0.94779758367 27
0.956884409298 26
0.963907264843 25
0.969348670911 24
0.973560891228 23
0.976826729559 22
0.979366965768 21
0.98132300769 20
0.982815153795 19
0.98394386988 18
0.984760019376 17
0.985315807105 16
0.985638297415 15

ZONE T="SLICE_Y_0p75_BINS03_KS_1mm_CUTDATA"
-0.790033373829 16
-0.789952751251 15
-0.789691026205 14
-0.789246954139 13
-0.788592049565 12
-0.787693996115 11
-0.78649457959 10
-0.78492181133 9
-0.782886399824 8
-0.780265541186 7
-0.776889315482 6
-0.772535696298 5
-0.766904488612 4
-0.759619915873 3
-0.750209384538 2
-0.738057689183 1
-0.722441671765 0
-0.677403948688 94
-0.646271738679 93
-0.608503008227 92
-0.563951270887 91
-0.513186399174 90
-0.457614411627 89
-0.399440147557 88
-0.341323491597 87
-0.285892732988 86
-0.235285594163 85
-0.19089746512 84
-0.153256401107 83
-0.122211167979 82
-0.0971634814587 81
-0.0772658936652 80
-0.0616386706234 79
-0.0494480184669 78
-0.039965460795 77
-0.0325809567494 76
-0.0267381748777 75
-0.0220373451637 74
-0.0181860466814 73
-0.0149716882695 72
-0.0122392900555 71
-0.00990155611 70
-0.00785094644456 69
-0.00602389964713 68
-0.00437994101018 67
-0.00286465225882 66
-0.00146219013811 65
0 64
0.00146219013811 63
0.00286465225882 62
0.00437994101018 61
0.00602389964713 60
0.00785094644456 59
0.00990155611 58
0.0122392900555 57
0.0149716882695 56
0.0181860466814 55
0.0220373451637 54
0.0267381748777 53
0.0325809567494 52
0.039965460795 51
0.0494480184669 50
0.0616386706234 49
0.0772658936652 48
0.0971634814587 47
0.122211167979 46
0.153256401107 45
0.19089746512 44
0.235285594163 43
0.285892732988 42
0.341323491597 41
0.399440147557 40
0.457614411627 39
0.513186399174 38
0.563951270887 37
0.608503008227 36
0.646271738679 35
0.677403948688 34
0.70252274643 33
0.722441855345 32
0.738057872763 31
0.750209568118 30
0.759620099453 29
0.766904672193 28
0.772535879878 27
0.776889499063 26
0.780265724766 25
0.782886583404 24
0.78492199491 23
0.78649476317 22
0.787694179695 21
0.788592233146 20
0.789247137719 19
0.789691209785 18
0.789952934832 17

ZONE T="SLICE_Y_1p4_BINS03_KS_1mm_CUTDATA"
-0.594326707409 32
-0.594255996731 31
-0.594064946999 30
-0.593731180614 29
-0.593237520812 28
-0.592562761596 27
-0.591654796839 26
-0.590475220643 25
-0.588953313945 24
-0.586977434394 23
-0.584438438529 22
-0.581152757473 21
-0.576921906495 20
-0.571440802592 19
-0.564368320708 18
-0.555218276992 17
