TITLE = "cutData curvilinear distance mapping"
VARIABLES = "s" "variable Index"

ZONE T="SLICE_Y_0p1_BINS01_KS_1mm_CUTDATA"
-0.985738796172 1
-0.985638297415 2
-0.985315807105 3
-0.984760019376 4
-0.98394386988 5
-0.982815153795 6
-0.98132300769 7
-0.979366965768 8
-0.976826729559 9
-0.973560891228 10
-0.969348670911 11
-0.963907264843 12
-0.956884409298 13
-0.94779758367 14
-0.936049000777 15
-0.92089442391 16
-0.901401037852 17
-0.876546541277 18
-0.845219284774 19
-0.806364478122 20
-0.759240406778 21
-0.703653267978 22
-0.640306172543 23
-0.570968540625 24
-0.498383152977 25
-0.425870074847 26
-0.356709137895 27
-0.293570239425 28
-0.23817555376 29
-0.19121160482 30
-0.152487363058 31
-0.121225290191 32
-0.0963991245583 33
-0.0768994912284 34
-0.0616866381101 35
-0.0498630515138 36
-0.0406465608585 37
-0.0333612811795 38
-0.0274996773035 39
-0.0226896045389 40
-0.0186731259818 41
-0.0152754503057 42
-0.0123497538074 43
-0.00979114090196 44
-0.0075212290094 45
-0.00546497027081 46
-0.00358281724834 47
-0.00183330303005 48
0 49
0.00183330303005 50
0.00358281724834 51
0.00546497027081 52
0.0075212290094 53
0.00979114090196 54
0.0123497538074 55
0.0152754503057 56
0.0186731259818 57
0.0226896045389 58
0.0274996773035 59
0.0333612811795 60
0.0406465608585 61
0.0498630515138 62
0.0616866381101 63
0.0768994912284 64
0.0963991245583 65
0.121225290191 66
0.152487363058 67
0.19121160482 68
0.23817555376 69
0.293570239425 70
0.356709137895 71
0.425870074847 72
0.498383152977 73
0.570968540625 74
0.640306172543 75
0.703653267978 76
0.759240406778 77
0.806364478122 78
0.845219284774 79
0.876546541277 80
0.901401037852 81
0.92089442391 82
0.936049000777 83
0.94779758367 84
0.956884409298 85
0.963907264843 86
0.969348670911 87
0.973560891228 88
0.976826729559 89
0.979366965768 90
0.98132300769 91
0.982815153795 92
0.98394386988 93
0.984760019376 94
0.985315807105 95
0.985638297415 0
0.985638297415 96

ZONE T="SLICE_Y_0p75_BINS01_KS_1mm_CUTDATA"
-0.790033557409 1
-0.789952934832 2
-0.789691209785 3
-0.789247137719 4
