#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Ice Shape DATA SUBMITTAL FORM for Test Case NACA0012_AE3932, May 18th 2026
#
#       NOMENCLATURE:
#             X_ICED X-coordinate of the iced surface
#             Y_ICED Y-coordinate of the iced surface
#             Z_ICED Z-coordinate of the iced surface
#
#    FLOW CONDITIONS:
#                                   AOA: 0.0 deg
#                           Mach Number: 0.3146 [-]
#       Mean aerodynamic chord M.A.C.: 21.0 [in]
#                       Reynolds Number: 3.9758 million based on MAC
#                       Freestream Temp: 267.55 [K]
#                        Reference area: 115.5 [in2]
#               Moment Reference Center: 5.25, 0.0, 0.0 [in] X, Y, Z
#                           Roughness: 0.2 [mm]
#
#    ICING CONDITIONS:
#                           Icing Time: 420.0 [s]
#                                  LWC: 0.55 [g/m3]
#                                  MVD: 20.0 [um]
#                          Ice Density: 615.0 [kg/m3]
#
#++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

AUXDATA NUM_LAYERS  = "1"

VARIABLES = "X_ICED" "Y_ICED" "Z_ICED"

ZONE T="SLICE_Y_0p9144_BINS01_KS_0p2mm_SINGLE_LAYER"
0.01162583 0.91440000 0.02101367
0.01139977 0.91440000 0.02090039
0.01097559 0.91440000 0.02070125
0.01060374 0.91440000 0.02060677
0.01041654 0.91440000 0.02055216
0.01022934 0.91440000 0.02052930
0.00978357 0.91440000 0.02046503
0.00923696 0.91440000 0.02040534
0.00919302 0.91440000 0.02040026
0.00909676 0.91440000 0.02039264
0.00859434 0.91440000 0.02035150
0.00835609 0.91440000 0.02033626
0.00803859 0.91440000 0.02032102
0.00732028 0.91440000 0.02032406
0.00727304 0.91440000 0.02032406
0.00724357 0.91440000 0.02032584
0.00646354 0.91440000 0.02040585
0.00632079 0.91440000 0.02043125
0.00540995 0.91440000 0.02062378
0.00510159 0.91440000 0.02067281
0.00468224 0.91440000 0.02074418
0.00428650 0.91440000 0.02080590
0.00378181 0.91440000 0.02080336
0.00372110 0.91440000 0.02080260
0.00323190 0.91440000 0.02078228
0.00314300 0.91440000 0.02078025
0.00260985 0.91440000 0.02076526
0.00245948 0.91440000 0.02076272
0.00198882 0.91440000 0.02076399
0.00135357 0.91440000 0.02078076
0.00119761 0.91440000 0.02078965
0.00087605 0.91440000 0.02080336
0.00047269 0.91440000 0.02082368
0.00026391 0.91440000 0.02082546
-0.00021209 0.91440000 0.02084807
-0.00078410 0.91440000 0.02084578
-0.00093294 0.91440000 0.02085086
-0.00154305 0.91440000 0.02097862
-0.00164948 0.91440000 0.02100174
-0.00184963 0.91440000 0.02106244
-0.00213208 0.91440000 0.02114880
-0.00236093 0.91440000 0.02122627
-0.00253060 0.91440000 0.02128393
-0.00271958 0.91440000 0.02135048
-0.00291363 0.91440000 0.02142287
-0.00301650 0.91440000 0.02145462
-0.00323545 0.91440000 0.02150110
-0.00333959 0.91440000 0.02151939
-0.00362153 0.91440000 0.02157298
-0.00367259 0.91440000 0.02158162
-0.00370307 0.91440000 0.02159152
-0.00401015 0.91440000 0.02168601
-0.00418033 0.91440000 0.02172411
-0.00448539 0.91440000 0.02181149
-0.00466039 0.91440000 0.02184375
-0.00489610 0.91440000 0.02188743
-0.00530555 0.91440000 0.02195601
-0.00572059 0.91440000 0.02199132
-0.00631850 0.91440000 0.02200935
-0.00661238 0.91440000 0.02200529
-0.00725983 0.91440000 0.02195297
-0.00751205 0.91440000 0.02192833
-0.00801218 0.91440000 0.02188210
-0.00863244 0.91440000 0.02184806
-0.00869137 0.91440000 0.02185086
-0.00942721 0.91440000 0.02213559
-0.00957047 0.91440000 0.02218741
-0.00976808 0.91440000 0.02223948
-0.01046277 0.91440000 0.02243607
-0.01075766 0.91440000 0.02232000
-0.01094435 0.91440000 0.02224380
-0.01103630 0.91440000 0.02220214
-0.01140079 0.91440000 0.02204720
-0.01165530 0.91440000 0.02191918
-0.01189787 0.91440000 0.02180387
-0.01209980 0.91440000 0.02170049
-0.01235278 0.91440000 0.02155368
-0.01263828 0.91440000 0.02140306
-0.01285418 0.91440000 0.02128876
-0.01308329 0.91440000 0.02117700
-0.01332662 0.91440000 0.02106066
-0.01378153 0.91440000 0.02085391
-0.01394968 0.91440000 0.02078101
-0.01447038 0.91440000 0.02048535
-0.01481811 0.91440000 0.02031365
-0.01520139 0.91440000 0.02007540
-0.01547673 0.91440000 0.01945767
-0.01559712 0.91440000 0.01906067
-0.01571066 0.91440000 0.01859712
-0.01564208 0.91440000 0.01802206
-0.01560220 0.91440000 0.01781937
-0.01537716 0.91440000 0.01718589
-0.01518920 0.91440000 0.01673809
-0.01495857 0.91440000 0.01609268
-0.01487830 0.91440000 0.01587170
-0.01473251 0.91440000 0.01540231
-0.01466190 0.91440000 0.01514475
-0.01462303 0.91440000 0.01504036
-0.01446352 0.91440000 0.01455522
-0.01434059 0.91440000 0.01423822
-0.01424127 0.91440000 0.01393088
-0.01391488 0.91440000 0.01303503
-0.01385214 0.91440000 0.01286002
-0.01383157 0.91440000 0.01281303
-0.01376426 0.91440000 0.01265682
-0.01339240 0.91440000 0.01178484
-0.01311123 0.91440000 0.01084885
-0.01308887 0.91440000 0.01077112
-0.01298600 0.91440000 0.01047725
-0.01274750 0.91440000 0.00977392
-0.01267054 0.91440000 0.00958342
-0.01228877 0.91440000 0.00882752
-0.01165911 0.91440000 0.00777291
-0.01158596 0.91440000 0.00765785
-0.01155167 0.91440000 0.00760730
-0.01131189 0.91440000 0.00726719
-0.01070305 0.91440000 0.00639191
-0.01060856 0.91440000 0.00628777
-0.01035888 0.91440000 0.00601802
-0.00987476 0.91440000 0.00547345
-0.00948741 0.91440000 0.00508762
-0.00908101 0.91440000 0.00471068
-0.00883133 0.91440000 0.00444830
-0.00840740 0.91440000 0.00401980
-0.00816254 0.91440000 0.00372872
-0.00788645 0.91440000 0.00341655
-0.00764464 0.91440000 0.00310032
-0.00731672 0.91440000 0.00271323
-0.00709955 0.91440000 0.00251028
-0.00667106 0.91440000 0.00206096
-0.00664667 0.91440000 0.00203810
-0.00660883 0.91440000 0.00199568
-0.00621919 0.91440000 0.00158344
-0.00598526 0.91440000 0.00127203
-0.00592582 0.91440000 0.00118669
-0.00577545 0.91440000 0.00095783
-0.00554711 0.91440000 0.00061366
-0.00548615 0.91440000 0.00052324
-0.00531622 0.91440000 0.00026924
-0.00499847 0.91440000 -0.00020701
-0.00453568 0.91440000 -0.00092151
-0.00447929 0.91440000 -0.00100711
-0.00418592 0.91440000 -0.00144602
-0.00385013 0.91440000 -0.00194894
-0.00378993 0.91440000 -0.00203810
-0.00318364 0.91440000 -0.00294030
-0.00306832 0.91440000 -0.00310921
-0.00263855 0.91440000 -0.00376174
-0.00247269 0.91440000 -0.00401244
-0.00241783 0.91440000 -0.00410464
-0.00186893 0.91440000 -0.00499745
-0.00166192 0.91440000 -0.00533502
-0.00118389 0.91440000 -0.00615213
-0.00115799 0.91440000 -0.00619735
-0.00113360 0.91440000 -0.00624434
-0.00072415 0.91440000 -0.00699872
-0.00057429 0.91440000 -0.00734289
-0.00037465 0.91440000 -0.00778281
-0.00015519 0.91440000 -0.00831596
0.00013792 0.91440000 -0.00888263
0.00048412 0.91440000 -0.00948741
0.00080162 0.91440000 -0.01002563
0.00123647 0.91440000 -0.01076173
0.00134239 0.91440000 -0.01093470
0.00178054 0.91440000 -0.01167028
0.00185420 0.91440000 -0.01180668
0.00242900 0.91440000 -0.01263167
0.00245948 0.91440000 -0.01267638
0.00246431 0.91440000 -0.01268349
0.00249707 0.91440000 -0.01272972
0.00314147 0.91440000 -0.01365098
0.00326796 0.91440000 -0.01381150
0.00408356 0.91440000 -0.01482115
0.00429717 0.91440000 -0.01506296
0.00485318 0.91440000 -0.01564716
0.00539039 0.91440000 -0.01615719
0.00567258 0.91440000 -0.01641983
0.00661213 0.91440000 -0.01722958
0.00663092 0.91440000 -0.01724584
0.00665226 0.91440000 -0.01726311
0.00737159 0.91440000 -0.01785493
0.00801573 0.91440000 -0.01836014
0.00802589 0.91440000 -0.01836801
0.00803504 0.91440000 -0.01837461
0.00878865 0.91440000 -0.01890344
0.00890549 0.91440000 -0.01898828
0.00952017 0.91440000 -0.01943506
0.00983209 0.91440000 -0.01964944
0.01054227 0.91440000 -0.02011324
0.01094359 0.91440000 -0.02035581
0.01186586 0.91440000 -0.02089582
0.01209980 0.91440000 -0.02103120
0.01321689 0.91440000 -0.02164385
0.01331443 0.91440000 -0.02169668
0.01340129 0.91440000 -0.02174316
0.01460779 0.91440000 -0.02238731
0.01496695 0.91440000 -0.02255672
0.01605890 0.91440000 -0.02306015
0.01628851 0.91440000 -0.02316810
0.01652245 0.91440000 -0.02325649
0.01745209 0.91440000 -0.02357882
0.01790116 0.91440000 -0.02365350
0.01860550 0.91440000 -0.02371750
0.01876450 0.91440000 -0.02373579
0.01889887 0.91440000 -0.02374240
0.01958086 0.91440000 -0.02374544
0.02027504 0.91440000 -0.02377491
0.02033321 0.91440000 -0.02377516
0.02038579 0.91440000 -0.02377872
0.02101317 0.91440000 -0.02375637
0.02148840 0.91440000 -0.02369083
0.02177821 0.91440000 -0.02362454
0.02243963 0.91440000 -0.02344649
0.02262886 0.91440000 -0.02339619
0.02269820 0.91440000 -0.02336902
0.02304059 0.91440000 -0.02324075
0.02355139 0.91440000 -0.02304415
0.02365096 0.91440000 -0.02299411
0.02416226 0.91440000 -0.02268118
0.02443505 0.91440000 -0.02251126
0.02474925 0.91440000 -0.02230780
0.02510257 0.91440000 -0.02208352
0.02548712 0.91440000 -0.02183282
0.02574138 0.91440000 -0.02166239
0.02627681 0.91440000 -0.02127021
0.02662555 0.91440000 -0.02104034
0.02721991 0.91440000 -0.02066468
0.02743810 0.91440000 -0.02053641
0.02783535 0.91440000 -0.02035505
0.02827020 0.91440000 -0.02015693
0.02845765 0.91440000 -0.02007083
0.02904642 0.91440000 -0.01977746
0.02923845 0.91440000 -0.01969084
0.02969793 0.91440000 -0.01949907
0.03001848 0.91440000 -0.01940230
0.03040837 0.91440000 -0.01929384
