TITLE     = ""
VARIABLES = "CoordinateX_Iced"
"CoordinateY_Iced"
ZONE T="Slice-SOL_SURFACE_DROP_DATA_BF_LAGRANGIAN_CASE_241_IPW1_layer020_20_LAYERS_DISTRIBUTION_DROP_LAGRANGIAN_NO_SLD-step0_WALL-0.0005"
 STRANDID=0, SOLUTIONTIME=0
 I=243, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 AUXDATA HIGHLIGHT_X="-0.000297954642"
 AUXDATA HIGHLIGHT_Y="0.002061321642"
 AUXDATA HIGHLIGHT_Z="0.000000000000"
 AUXDATA INTEGRATED_ICE_MASS="0.000000000000"
 AUXDATA LOWER_HORN_ANGLE="256.218722006026"
 AUXDATA LOWER_HORN_HEIGHT="0.000589098455"
 AUXDATA UPPER_HORN_ANGLE="139.389421935915"
 AUXDATA UPPER_HORN_HEIGHT="0.000576693944"
 DT=(SINGLE SINGLE )
 4.571957588E-01 -1.914679888E-04
 4.571872354E-01 -5.760666099E-04
 4.568051994E-01 -6.210954743E-04
 4.563849270E-01 -6.705684937E-04
 4.559226334E-01 -7.249152986E-04
 4.554141164E-01 -7.846094086E-04
 4.548546970E-01 -8.501665434E-04
 4.542393386E-01 -9.221244836E-04
 4.535624385E-01 -1.001106459E-03
 4.528177977E-01 -1.087791985E-03
 4.519986808E-01 -1.182901789E-03
 4.510976076E-01 -1.287226798E-03
 4.501064122E-01 -1.401654794E-03
 4.490160048E-01 -1.527064363E-03
 4.478165209E-01 -1.664503245E-03
 4.464970231E-01 -1.815107767E-03
 4.450455010E-01 -1.980031841E-03
 4.434487224E-01 -2.160560805E-03
 4.416921437E-01 -2.358130645E-03
 4.397597611E-01 -2.574252663E-03
 4.376339614E-01 -2.810150618E-03
 4.352953732E-01 -3.067901824E-03
 4.327226877E-01 -3.349345876E-03
 4.298924804E-01 -3.656422952E-03
 4.267789125E-01 -3.991132136E-03
 4.233535826E-01 -4.355638288E-03
 4.195853174E-01 -4.752466921E-03
 4.154396355E-01 -5.183557048E-03
 4.108787179E-01 -5.651379004E-03
 4.058609903E-01 -6.158853415E-03
 4.007903934E-01 -6.664001849E-03
 3.957168162E-01 -7.162372582E-03
 3.906403482E-01 -7.654192392E-03
 3.855606616E-01 -8.135200478E-03
 3.804783821E-01 -8.611055091E-03
 3.753933311E-01 -9.078886360E-03
 3.703055680E-01 -9.539032355E-03
 3.652154803E-01 -9.994516149E-03
 3.601225317E-01 -1.043858100E-02
 3.550274968E-01 -1.087936945E-02
 3.499297500E-01 -1.130810846E-02
 3.448301554E-01 -1.173487864E-02
 3.397279084E-01 -1.214842778E-02
 3.346240520E-01 -1.256074198E-02
 3.295176029E-01 -1.295885351E-02
 3.244097233E-01 -1.335611194E-02
 3.192994893E-01 -1.373979729E-02
 3.141878843E-01 -1.412184443E-02
 3.090740442E-01 -1.448955107E-02
 3.039588928E-01 -1.485464908E-02
 2.988418937E-01 -1.520807948E-02
 2.937235832E-01 -1.555659901E-02
 2.886034548E-01 -1.589184999E-02
 2.834821343E-01 -1.622151397E-02
 2.783594131E-01 -1.654137671E-02
 2.732354701E-01 -1.685257070E-02
 2.681102455E-01 -1.715368964E-02
 2.629838884E-01 -1.744462363E-02
 2.578565776E-01 -1.772779971E-02
 2.527281046E-01 -1.799764112E-02
 2.475989461E-01 -1.826114208E-02
 2.424686104E-01 -1.850708015E-02
 2.373378128E-01 -1.874841936E-02
 2.322060019E-01 -1.897107437E-02
 2.270739675E-01 -1.919106022E-02
 2.219408602E-01 -1.938517578E-02
 2.168076634E-01 -1.957583800E-02
 2.116738707E-01 -1.974679530E-02
 2.065400034E-01 -1.991016418E-02
 2.014057487E-01 -2.005269565E-02
 1.962715089E-01 -2.018406056E-02
 1.911372095E-01 -2.029742859E-02
 1.860030442E-01 -2.039560303E-02
 1.808690876E-01 -2.047828957E-02
 1.757354289E-01 -2.053913847E-02
 1.706022322E-01 -2.058556490E-02
 1.654696167E-01 -2.060869895E-02
 1.603377014E-01 -2.062197216E-02
 1.552066952E-01 -2.060052380E-02
 1.500766128E-01 -2.057012171E-02
 1.449478567E-01 -2.050471865E-02
 1.398201734E-01 -2.043448761E-02
 1.346945912E-01 -2.031242475E-02
 1.295702755E-01 -2.018689923E-02
 1.244486272E-01 -2.001218498E-02
 1.193284988E-01 -1.983235031E-02
 1.142123118E-01 -1.958974265E-02
 1.090979725E-01 -1.933960430E-02
 1.039879769E-01 -1.903650165E-02
 9.888037294E-02 -1.872115023E-02
 9.377847612E-02 -1.834472269E-02
 8.867953718E-02 -1.795289665E-02
 8.358649164E-02 -1.750992611E-02
 7.849755138E-02 -1.704273932E-02
 7.341410965E-02 -1.653710380E-02
 6.833586097E-02 -1.600066014E-02
 6.326136738E-02 -1.544794347E-02
 5.819039792E-02 -1.488241833E-02
 5.312304199E-02 -1.430427562E-02
 4.805958271E-02 -1.371196378E-02
 4.300051183E-02 -1.310220826E-02
 3.808841482E-02 -1.249058638E-02
 3.362568095E-02 -1.191253401E-02
 2.957260236E-02 -1.135741826E-02
 2.589294501E-02 -1.081796456E-02
 2.255447023E-02 -1.028424688E-02
 1.952807233E-02 -9.748403914E-03
 1.678766496E-02 -9.203695692E-03
 1.430928987E-02 -8.647729643E-03
 1.207247470E-02 -8.075031452E-03
 1.005983911E-02 -7.479080930E-03
 8.256573230E-03 -6.854981650E-03
 6.652539130E-03 -6.194557063E-03
 5.234142300E-03 -5.506279413E-03
 3.996348474E-03 -4.783829674E-03
 2.939630765E-03 -4.021798261E-03
 2.044644207E-03 -3.246123204E-03
 1.317104790E-03 -2.452968853E-03
 7.509279530E-04 -1.655208413E-03
 3.441015142E-04 -8.640242741E-04
 4.965229891E-05 -1.108232755E-04
 -1.475443569E-04 5.975330132E-04
 -2.608700888E-04 1.256547752E-03
 -3.020983131E-04 1.863240846E-03
 -2.891984768E-04 2.479893621E-03
 -2.119519049E-04 3.153803060E-03
 -5.855413110E-05 3.883851226E-03
 1.795658027E-04 4.669053480E-03
