#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
#
#   IPW-3 Cut/Slice DATA SUBMITTAL FORM for Test Case ###, May 4th 2026
#
#  
#
#
#       NOMENCLATURE:
#                  X [m]:  X-coordinate of the surface (clean for reference)
#                  Y [m]:  Y-coordinate of the surface (clean for reference)
#                  Z [m]:  Z-coordinate of the surface (clean for reference)
#             X_ICED [m]:  X-coordinate of the ice surface (1/1 layer only)
#             Y_ICED [m]:  Y-coordinate of the ice surface (1/1 layer only)
#             Z_ICED [m]:  Z-coordinate of the ice surface (1/1 layer only)
#                  s [m]:  Wrap distance from high-light on surface (X, Y, Z)
#                 Cp [-]:  Pressure coefficient
#            HTC [W/m2K]:  Convective Heat Transfer Coefficient
#               Beta [-]:  Collection efficiency
#                 Ts [K]:  Surface temperature
#                 FF [-]:  Freezing fraction
#                  k [m]:  Surface roughness height (OPTIONAL)
#         RhoIce [kg/m3]:  Ice density (OPTIONAL)
#      HTC_CLEAN [W/m2K]:  Convective Heat Transfer Coefficient on the surface without roughness (OPTIONAL)
#
#                XXX:   Participant ID (assigned by IPW committee); e.g., 001, 020, 147
#                ###:   Test case name (NACA0012_AE3932, NACA0012_3933, ONERAM6)
#            DATASET:   Sequential number, should start at 01 for each participant 
#
#    E.g. TITLE field could be: 001_NACA0012_AE3932_03 for the third submission by participant 1 for the case NACA0012_AE3932
#
#
#    FLOW CONDITIONS:
#                        AOA : 4.0 deg
#                 Mach Number: 0.3114 [-]
#                         MAC: 0.5334 [m]
#             Reynolds Number: 3.8441 million (based on MAC)
#             Freestream Temp: XXX [K]
#              Reference area: 0.97548 [m2]
#     Moment Reference Center: 0.13335, 0, 0 [m] (X, Y, Z)
#
#              NOTES: 1. Please use at least 5 decimal places in the numerical values
#                     2. If data are NOT provided, please fill data fields with a numerical value of "-999" 
#
#+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++

                                                             <- Optional ->                 
VARIABLES = "X" "Y" "Z" "Cp" "HTC" "Beta" "Ts" "FF" "k" "RhoIce" "HTC_CLEAN"

##### INTERNAL COMMENT : WILL ADD DETAILS ABOUT THE SLICE ONCE THE FORMAT IS AGREED #####

# The following section contains first-layer surface variables for the selected grid level.
# Each ZONE corresponds to one slice location and one droplet-bin distribution.
ZONE T="SLICE_Y_0p9144_BINS03_KS_1mm_CUTDATA"
0.53242 0.91440 -0.02795 0.07693 167.52432 0.00000 272.13282 0.00000 -999.00000 680.00000 -999.00000 
0.53242 0.91440 -0.02804 0.07670 166.88511 0.00000 272.13237 0.00000 -999.00000 680.00000 -999.00000 
0.53241 0.91440 -0.02813 0.07569 158.17038 0.00000 272.12717 0.00000 -999.00000 680.00000 -999.00000 
0.53240 0.91440 -0.02822 0.07253 144.09045 0.00000 272.11689 0.00000 -999.00000 680.00000 -999.00000 
0.53240 0.91440 -0.02831 0.06831 129.69275 0.00000 272.10408 0.00000 -999.00000 680.00000 -999.00000 
0.53239 0.91440 -0.02840 0.06284 110.15998 0.00000 272.08133 0.00000 -999.00000 680.00000 -999.00000 
0.53238 0.91440 -0.02849 0.01825 150.83203 0.00000 272.07855 0.00000 -999.00000 680.00000 -999.00000 
0.53238 0.91440 -0.02858 -0.02277 204.23833 0.00000 272.09199 0.00000 -999.00000 680.00000 -999.00000 
0.53213 0.91440 -0.02859 0.12762 333.99115 0.00000 272.20218 0.00000 -999.00000 680.00000 -999.00000 
0.53172 0.91440 -0.02862 0.09438 313.78947 0.00000 272.18091 0.00000 -999.00000 680.00000 -999.00000 
0.53107 0.91440 -0.02867 0.09820 300.07339 0.00000 272.18107 0.00000 -999.00000 680.00000 -999.00000 
0.53003 0.91440 -0.02874 0.09532 297.32840 0.00000 272.17904 0.00000 -999.00000 680.00000 -999.00000 
0.52837 0.91440 -0.02885 0.09199 296.96645 0.00000 272.17712 0.00000 -999.00000 680.00000 -999.00000 
0.52580 0.91440 -0.02903 0.08779 298.62711 0.00000 272.17503 0.00000 -999.00000 680.00000 -999.00000 
0.52324 0.91440 -0.02920 0.08387 301.20013 0.00000 272.17324 0.00000 -999.00000 680.00000 -999.00000 
0.52067 0.91440 -0.02937 0.07974 303.96664 0.00000 272.17136 0.00000 -999.00000 680.00000 -999.00000 
0.51810 0.91440 -0.02954 0.07576 306.69137 0.00000 272.16954 0.00000 -999.00000 680.00000 -999.00000 
0.51553 0.91440 -0.02971 0.07185 309.27238 0.00000 272.16774 0.00000 -999.00000 680.00000 -999.00000 
0.51296 0.91440 -0.02987 0.06802 311.71763 0.00000 272.16595 0.00000 -999.00000 680.00000 -999.00000 
0.51039 0.91440 -0.03003 0.06431 314.06303 0.00000 272.16421 0.00000 -999.00000 680.00000 -999.00000 
0.50782 0.91440 -0.03019 0.06072 316.31525 0.00000 272.16251 0.00000 -999.00000 680.00000 -999.00000 
0.50525 0.91440 -0.03035 0.05722 318.48027 0.00000 272.16086 0.00000 -999.00000 680.00000 -999.00000 
0.50268 0.91440 -0.03051 0.05382 320.57068 0.00000 272.15924 0.00000 -999.00000 680.00000 -999.00000 
0.50011 0.91440 -0.03067 0.05054 322.59033 0.00000 272.15767 0.00000 -999.00000 680.00000 -999.00000 
0.49754 0.91440 -0.03082 0.04735 324.53218 0.00000 272.15615 0.00000 -999.00000 680.00000 -999.00000 
0.49497 0.91440 -0.03097 0.04424 326.40126 0.00000 272.15465 0.00000 -999.00000 680.00000 -999.00000 
0.49240 0.91440 -0.03112 0.04123 328.20850 0.00000 272.15320 0.00000 -999.00000 680.00000 -999.00000 
0.48983 0.91440 -0.03127 0.03830 329.95164 0.00000 272.15178 0.00000 -999.00000 680.00000 -999.00000 
0.48726 0.91440 -0.03141 0.03544 331.64200 0.00000 272.15039 0.00000 -999.00000 680.00000 -999.00000 
0.48469 0.91440 -0.03156 0.03266 333.28530 0.00000 272.14904 0.00000 -999.00000 680.00000 -999.00000 
0.48212 0.91440 -0.03170 0.02996 334.87747 0.00000 272.14773 0.00000 -999.00000 680.00000 -999.00000 
0.47955 0.91440 -0.03184 0.02732 336.42007 0.00000 272.14644 0.00000 -999.00000 680.00000 -999.00000 
0.47698 0.91440 -0.03198 0.02475 337.92201 0.00000 272.14517 0.00000 -999.00000 680.00000 -999.00000 
0.47441 0.91440 -0.03212 0.02224 339.38648 0.00000 272.14394 0.00000 -999.00000 680.00000 -999.00000 
0.47184 0.91440 -0.03225 0.01978 340.81413 0.00000 272.14274 0.00000 -999.00000 680.00000 -999.00000 
0.46927 0.91440 -0.03239 0.01738 342.20923 0.00000 272.14156 0.00000 -999.00000 680.00000 -999.00000 
0.46670 0.91440 -0.03252 0.01505 343.57272 0.00000 272.14041 0.00000 -999.00000 680.00000 -999.00000 
0.46413 0.91440 -0.03265 0.01276 344.90186 0.00000 272.13928 0.00000 -999.00000 680.00000 -999.00000 
0.46156 0.91440 -0.03278 0.01052 346.20043 0.00000 272.13818 0.00000 -999.00000 680.00000 -999.00000 
0.45899 0.91440 -0.03290 0.00832 347.47342 0.00000 272.13709 0.00000 -999.00000 680.00000 -999.00000 
0.45642 0.91440 -0.03303 0.00617 348.72775 0.00000 272.13602 0.00000 -999.00000 680.00000 -999.00000 
0.45384 0.91440 -0.03315 0.00408 349.96112 0.00000 272.13499 0.00000 -999.00000 680.00000 -999.00000 
0.45127 0.91440 -0.03327 0.00202 351.16300 0.00000 272.13397 0.00000 -999.00000 680.00000 -999.00000 
0.44870 0.91440 -0.03339 -0.00002 352.34485 0.00000 272.13296 0.00000 -999.00000 680.00000 -999.00000 
0.44613 0.91440 -0.03351 -0.00199 353.51909 0.00000 272.13198 0.00000 -999.00000 680.00000 -999.00000 
0.44356 0.91440 -0.03363 -0.00393 354.66557 0.00000 272.13102 0.00000 -999.00000 680.00000 -999.00000 
0.44099 0.91440 -0.03374 -0.00586 355.79149 0.00000 272.13006 0.00000 -999.00000 680.00000 -999.00000 
0.43841 0.91440 -0.03386 -0.00772 356.91129 0.00000 272.12913 0.00000 -999.00000 680.00000 -999.00000 
0.43584 0.91440 -0.03397 -0.00957 358.01013 0.00000 272.12821 0.00000 -999.00000 680.00000 -999.00000 
0.43327 0.91440 -0.03408 -0.01138 359.09846 0.00000 272.12731 0.00000 -999.00000 680.00000 -999.00000 
0.43070 0.91440 -0.03419 -0.01316 360.17219 0.00000 272.12643 0.00000 -999.00000 680.00000 -999.00000 
0.42813 0.91440 -0.03430 -0.01492 361.23256 0.00000 272.12555 0.00000 -999.00000 680.00000 -999.00000 
0.42555 0.91440 -0.03440 -0.01664 362.28503 0.00000 272.12469 0.00000 -999.00000 680.00000 -999.00000 
0.42298 0.91440 -0.03450 -0.01834 363.32327 0.00000 272.12385 0.00000 -999.00000 680.00000 -999.00000 
0.42041 0.91440 -0.03461 -0.02001 364.35284 0.00000 272.12301 0.00000 -999.00000 680.00000 -999.00000 
0.41784 0.91440 -0.03471 -0.02166 365.37200 0.00000 272.12219 0.00000 -999.00000 680.00000 -999.00000 
0.41527 0.91440 -0.03481 -0.02329 366.38202 0.00000 272.12138 0.00000 -999.00000 680.00000 -999.00000 
0.41269 0.91440 -0.03490 -0.02489 367.38394 0.00000 272.12058 0.00000 -999.00000 680.00000 -999.00000 
0.41012 0.91440 -0.03500 -0.02648 368.37707 0.00000 272.11979 0.00000 -999.00000 680.00000 -999.00000 
0.40755 0.91440 -0.03509 -0.02803 369.36314 0.00000 272.11902 0.00000 -999.00000 680.00000 -999.00000 
0.40498 0.91440 -0.03519 -0.02959 370.34350 0.00000 272.11824 0.00000 -999.00000 680.00000 -999.00000 
0.40240 0.91440 -0.03528 -0.03112 371.33150 0.00000 272.11748 0.00000 -999.00000 680.00000 -999.00000 
0.39983 0.91440 -0.03537 -0.03261 372.31099 0.00000 272.11674 0.00000 -999.00000 680.00000 -999.00000 
0.39726 0.91440 -0.03545 -0.03411 373.28486 0.00000 272.11599 0.00000 -999.00000 680.00000 -999.00000 
0.39468 0.91440 -0.03554 -0.03556 374.26098 0.00000 272.11527 0.00000 -999.00000 680.00000 -999.00000 
0.39211 0.91440 -0.03562 -0.03704 375.22913 0.00000 272.11453 0.00000 -999.00000 680.00000 -999.00000 
0.38954 0.91440 -0.03571 -0.03846 376.20903 0.00000 272.11383 0.00000 -999.00000 680.00000 -999.00000 
0.38697 0.91440 -0.03579 -0.03986 377.17745 0.00000 272.11313 0.00000 -999.00000 680.00000 -999.00000 
0.38439 0.91440 -0.03587 -0.04129 378.14003 0.00000 272.11242 0.00000 -999.00000 680.00000 -999.00000 
0.38182 0.91440 -0.03594 -0.04265 379.10984 0.00000 272.11175 0.00000 -999.00000 680.00000 -999.00000 
0.37925 0.91440 -0.03602 -0.04402 380.06426 0.00000 272.11107 0.00000 -999.00000 680.00000 -999.00000 
0.37667 0.91440 -0.03609 -0.04539 381.02128 0.00000 272.11039 0.00000 -999.00000 680.00000 -999.00000 
0.37410 0.91440 -0.03617 -0.04671 381.97609 0.00000 272.10973 0.00000 -999.00000 680.00000 -999.00000 
0.37153 0.91440 -0.03624 -0.04806 382.91465 0.00000 272.10907 0.00000 -999.00000 680.00000 -999.00000 
0.36895 0.91440 -0.03631 -0.04939 383.86318 0.00000 272.10840 0.00000 -999.00000 680.00000 -999.00000 
0.36638 0.91440 -0.03637 -0.05068 384.81245 0.00000 272.10777 0.00000 -999.00000 680.00000 -999.00000 
0.36381 0.91440 -0.03644 -0.05199 385.75064 0.00000 272.10711 0.00000 -999.00000 680.00000 -999.00000 
0.36123 0.91440 -0.03650 -0.05330 386.70646 0.00000 272.10646 0.00000 -999.00000 680.00000 -999.00000 
0.35866 0.91440 -0.03657 -0.05457 387.67279 0.00000 272.10584 0.00000 -999.00000 680.00000 -999.00000 
0.35609 0.91440 -0.03663 -0.05583 388.62190 0.00000 272.10522 0.00000 -999.00000 680.00000 -999.00000 
0.35351 0.91440 -0.03668 -0.05711 389.57249 0.00000 272.10458 0.00000 -999.00000 680.00000 -999.00000 
0.35094 0.91440 -0.03674 -0.05836 390.53983 0.00000 272.10396 0.00000 -999.00000 680.00000 -999.00000 
0.34837 0.91440 -0.03680 -0.05958 391.49805 0.00000 272.10336 0.00000 -999.00000 680.00000 -999.00000 
0.34579 0.91440 -0.03685 -0.06082 392.44441 0.00000 272.10275 0.00000 -999.00000 680.00000 -999.00000 
0.34322 0.91440 -0.03690 -0.06203 393.39208 0.00000 272.10215 0.00000 -999.00000 680.00000 -999.00000 
0.34064 0.91440 -0.03695 -0.06325 394.34132 0.00000 272.10155 0.00000 -999.00000 680.00000 -999.00000 
0.33807 0.91440 -0.03700 -0.06445 395.29869 0.00000 272.10095 0.00000 -999.00000 680.00000 -999.00000 
0.33550 0.91440 -0.03704 -0.06565 396.26261 0.00000 272.10036 0.00000 -999.00000 680.00000 -999.00000 
0.33292 0.91440 -0.03709 -0.06683 397.23097 0.00000 272.09978 0.00000 -999.00000 680.00000 -999.00000 
0.33035 0.91440 -0.03713 -0.06800 398.19820 0.00000 272.09920 0.00000 -999.00000 680.00000 -999.00000 
0.32777 0.91440 -0.03717 -0.06917 399.16532 0.00000 272.09863 0.00000 -999.00000 680.00000 -999.00000 
0.32520 0.91440 -0.03721 -0.07032 400.13668 0.00000 272.09806 0.00000 -999.00000 680.00000 -999.00000 
0.32263 0.91440 -0.03724 -0.07148 401.11622 0.00000 272.09749 0.00000 -999.00000 680.00000 -999.00000 
0.32005 0.91440 -0.03728 -0.07262 402.10452 0.00000 272.09693 0.00000 -999.00000 680.00000 -999.00000 
0.31748 0.91440 -0.03731 -0.07374 403.09660 0.00000 272.09638 0.00000 -999.00000 680.00000 -999.00000 
0.31490 0.91440 -0.03734 -0.07487 404.09129 0.00000 272.09583 0.00000 -999.00000 680.00000 -999.00000 
0.31233 0.91440 -0.03737 -0.07598 405.09015 0.00000 272.09529 0.00000 -999.00000 680.00000 -999.00000 
0.30976 0.91440 -0.03739 -0.07708 406.09635 0.00000 272.09475 0.00000 -999.00000 680.00000 -999.00000 
0.30718 0.91440 -0.03742 -0.07818 407.11197 0.00000 272.09422 0.00000 -999.00000 680.00000 -999.00000 
0.30461 0.91440 -0.03744 -0.07927 408.13733 0.00000 272.09369 0.00000 -999.00000 680.00000 -999.00000 
0.30203 0.91440 -0.03746 -0.08034 409.17341 0.00000 272.09316 0.00000 -999.00000 680.00000 -999.00000 
0.29946 0.91440 -0.03747 -0.08141 410.21779 0.00000 272.09265 0.00000 -999.00000 680.00000 -999.00000 
0.29689 0.91440 -0.03749 -0.08247 411.27065 0.00000 272.09214 0.00000 -999.00000 680.00000 -999.00000 
0.29431 0.91440 -0.03750 -0.08351 412.32943 0.00000 272.09163 0.00000 -999.00000 680.00000 -999.00000 
0.29174 0.91440 -0.03751 -0.08455 413.39719 0.00000 272.09113 0.00000 -999.00000 680.00000 -999.00000 
0.28916 0.91440 -0.03752 -0.08558 414.47882 0.00000 272.09064 0.00000 -999.00000 680.00000 -999.00000 
0.28659 0.91440 -0.03753 -0.08660 415.57606 0.00000 272.09015 0.00000 -999.00000 680.00000 -999.00000 
0.28401 0.91440 -0.03753 -0.08760 416.69028 0.00000 272.08967 0.00000 -999.00000 680.00000 -999.00000 
0.28144 0.91440 -0.03753 -0.08860 417.81058 0.00000 272.08919 0.00000 -999.00000 680.00000 -999.00000 
0.27887 0.91440 -0.03753 -0.08959 418.94239 0.00000 272.08873 0.00000 -999.00000 680.00000 -999.00000 
0.27629 0.91440 -0.03752 -0.09057 420.09552 0.00000 272.08826 0.00000 -999.00000 680.00000 -999.00000 
0.27372 0.91440 -0.03752 -0.09152 421.27210 0.00000 272.08781 0.00000 -999.00000 680.00000 -999.00000 
0.27114 0.91440 -0.03751 -0.09248 422.46897 0.00000 272.08737 0.00000 -999.00000 680.00000 -999.00000 
0.26857 0.91440 -0.03750 -0.09341 423.68934 0.00000 272.08694 0.00000 -999.00000 680.00000 -999.00000 
0.26599 0.91440 -0.03748 -0.09433 424.92797 0.00000 272.08651 0.00000 -999.00000 680.00000 -999.00000 
0.26342 0.91440 -0.03746 -0.09523 426.18508 0.00000 272.08609 0.00000 -999.00000 680.00000 -999.00000 
0.26085 0.91440 -0.03744 -0.09611 427.45742 0.00000 272.08569 0.00000 -999.00000 680.00000 -999.00000 
0.25827 0.91440 -0.03742 -0.09699 428.74106 0.00000 272.08529 0.00000 -999.00000 680.00000 -999.00000 
0.25570 0.91440 -0.03740 -0.09783 430.03444 0.00000 272.08491 0.00000 -999.00000 680.00000 -999.00000 
0.25312 0.91440 -0.03737 -0.09868 431.33388 0.00000 272.08453 0.00000 -999.00000 680.00000 -999.00000 
0.25055 0.91440 -0.03734 -0.09950 432.64040 0.00000 272.08416 0.00000 -999.00000 680.00000 -999.00000 
0.24798 0.91440 -0.03730 -0.10032 433.95138 0.00000 272.08380 0.00000 -999.00000 680.00000 -999.00000 
0.24540 0.91440 -0.03727 -0.10110 435.26963 0.00000 272.08345 0.00000 -999.00000 680.00000 -999.00000 
0.24283 0.91440 -0.03723 -0.10188 436.59256 0.00000 272.08310 0.00000 -999.00000 680.00000 -999.00000 
0.24025 0.91440 -0.03718 -0.10263 437.92299 0.00000 272.08278 0.00000 -999.00000 680.00000 -999.00000 
0.23768 0.91440 -0.03714 -0.10337 439.25979 0.00000 272.08245 0.00000 -999.00000 680.00000 -999.00000 
0.23511 0.91440 -0.03709 -0.10408 440.60636 0.00000 272.08215 0.00000 -999.00000 680.00000 -999.00000 
0.23253 0.91440 -0.03703 -0.10477 441.95768 0.00000 272.08185 0.00000 -999.00000 680.00000 -999.00000 
0.22996 0.91440 -0.03698 -0.10544 443.31585 0.00000 272.08157 0.00000 -999.00000 680.00000 -999.00000 
0.22738 0.91440 -0.03692 -0.10608 444.68489 0.00000 272.08130 0.00000 -999.00000 680.00000 -999.00000 
0.22481 0.91440 -0.03686 -0.10671 446.06413 0.00000 272.08104 0.00000 -999.00000 680.00000 -999.00000 
0.22224 0.91440 -0.03679 -0.10730 447.45367 0.00000 272.08080 0.00000 -999.00000 680.00000 -999.00000 
0.21966 0.91440 -0.03672 -0.10787 448.85404 0.00000 272.08057 0.00000 -999.00000 680.00000 -999.00000 
0.21709 0.91440 -0.03665 -0.10841 450.26742 0.00000 272.08036 0.00000 -999.00000 680.00000 -999.00000 
0.21452 0.91440 -0.03657 -0.10893 451.69376 0.00000 272.08017 0.00000 -999.00000 680.00000 -999.00000 
0.21195 0.91440 -0.03649 -0.10942 453.13824 0.00000 272.07998 0.00000 -999.00000 680.00000 -999.00000 
0.20937 0.91440 -0.03641 -0.10988 454.60197 0.00000 272.07982 0.00000 -999.00000 680.00000 -999.00000 
0.20680 0.91440 -0.03632 -0.11031 456.08470 0.00000 272.07968 0.00000 -999.00000 680.00000 -999.00000 
0.20423 0.91440 -0.03622 -0.11070 457.58896 0.00000 272.07956 0.00000 -999.00000 680.00000 -999.00000 
0.20165 0.91440 -0.03613 -0.11106 459.11483 0.00000 272.07945 0.00000 -999.00000 680.00000 -999.00000 
0.19908 0.91440 -0.03603 -0.11138 460.66733 0.00000 272.07937 0.00000 -999.00000 680.00000 -999.00000 
0.19651 0.91440 -0.03592 -0.11167 462.24774 0.00000 272.07931 0.00000 -999.00000 680.00000 -999.00000 
0.19394 0.91440 -0.03582 -0.11193 463.86546 0.00000 272.07927 0.00000 -999.00000 680.00000 -999.00000 
0.19137 0.91440 -0.03570 -0.11212 465.52260 0.00000 272.07926 0.00000 -999.00000 680.00000 -999.00000 
0.18879 0.91440 -0.03559 -0.11229 467.22244 0.00000 272.07927 0.00000 -999.00000 680.00000 -999.00000 
0.18622 0.91440 -0.03546 -0.11238 468.97170 0.00000 272.07933 0.00000 -999.00000 680.00000 -999.00000 
0.18365 0.91440 -0.03534 -0.11245 470.76651 0.00000 272.07940 0.00000 -999.00000 680.00000 -999.00000 
0.18108 0.91440 -0.03521 -0.11244 472.60872 0.00000 272.07952 0.00000 -999.00000 680.00000 -999.00000 
0.17851 0.91440 -0.03507 -0.11239 474.48121 0.00000 272.07966 0.00000 -999.00000 680.00000 -999.00000 
0.17594 0.91440 -0.03493 -0.11229 476.38883 0.00000 272.07984 0.00000 -999.00000 680.00000 -999.00000 
0.17337 0.91440 -0.03479 -0.11209 478.31402 0.00000 272.08006 0.00000 -999.00000 680.00000 -999.00000 
0.17080 0.91440 -0.03464 -0.11190 480.25237 0.00000 272.08028 0.00000 -999.00000 680.00000 -999.00000 
0.16823 0.91440 -0.03448 -0.11161 482.21751 0.00000 272.08057 0.00000 -999.00000 680.00000 -999.00000 
0.16566 0.91440 -0.03432 -0.11125 484.17428 0.00000 272.08089 0.00000 -999.00000 680.00000 -999.00000 
0.16309 0.91440 -0.03416 -0.11089 486.13501 0.00000 272.08120 0.00000 -999.00000 680.00000 -999.00000 
0.16052 0.91440 -0.03399 -0.11041 488.11783 0.00000 272.08159 0.00000 -999.00000 680.00000 -999.00000 
0.15796 0.91440 -0.03381 -0.10985 490.08989 0.00000 272.08202 0.00000 -999.00000 680.00000 -999.00000 
0.15539 0.91440 -0.03363 -0.10928 492.07445 0.00018 272.02431 0.50000 -999.00000 680.00000 -999.00000 
0.15282 0.91440 -0.03344 -0.10858 494.09603 0.00068 271.86487 1.00000 -999.00000 680.00000 -999.00000 
0.15025 0.91440 -0.03325 -0.10779 496.12262 0.00131 271.66185 1.00000 -999.00000 680.00000 -999.00000 
0.14769 0.91440 -0.03305 -0.10696 498.16977 0.00196 271.45651 1.00000 -999.00000 680.00000 -999.00000 
0.14512 0.91440 -0.03285 -0.10604 500.27996 0.00264 271.24561 1.00000 -999.00000 680.00000 -999.00000 
0.14255 0.91440 -0.03263 -0.10498 502.44470 0.00334 271.02775 1.00000 -999.00000 680.00000 -999.00000 
0.13999 0.91440 -0.03242 -0.10382 504.63492 0.00406 270.80671 1.00000 -999.00000 680.00000 -999.00000 
0.13743 0.91440 -0.03219 -0.10259 506.86459 0.00479 270.58444 1.00000 -999.00000 680.00000 -999.00000 
0.13486 0.91440 -0.03196 -0.10126 509.16694 0.00554 270.35797 1.00000 -999.00000 680.00000 -999.00000 
0.13230 0.91440 -0.03172 -0.09982 511.55342 0.00631 270.13753 1.00000 -999.00000 680.00000 -999.00000 
0.12974 0.91440 -0.03148 -0.09823 514.01349 0.00711 270.04070 1.00000 -999.00000 680.00000 -999.00000 
0.12717 0.91440 -0.03123 -0.09650 516.51360 0.00793 270.05933 1.00000 -999.00000 680.00000 -999.00000 
0.12461 0.91440 -0.03097 -0.09465 519.03693 0.00876 270.07845 1.00000 -999.00000 680.00000 -999.00000 
0.12205 0.91440 -0.03070 -0.09267 521.58326 0.00962 270.09807 1.00000 -999.00000 680.00000 -999.00000 
0.11949 0.91440 -0.03043 -0.09055 524.15299 0.01050 270.11825 1.00000 -999.00000 680.00000 -999.00000 
0.11693 0.91440 -0.03015 -0.08828 526.75055 0.01140 270.13906 1.00000 -999.00000 680.00000 -999.00000 
0.11438 0.91440 -0.02986 -0.08586 529.37505 0.01233 270.16064 1.00000 -999.00000 680.00000 -999.00000 
0.11182 0.91440 -0.02956 -0.08325 532.00800 0.01330 270.18305 1.00000 -999.00000 680.00000 -999.00000 
0.10924 0.91440 -0.02925 -0.08050 534.60118 0.01428 270.20596 1.00000 -999.00000 680.00000 -999.00000 
0.10679 0.91440 -0.02894 -0.07764 537.12645 0.01525 270.22884 1.00000 -999.00000 680.00000 -999.00000 
0.10445 0.91440 -0.02865 -0.07475 539.56124 0.01621 270.25141 1.00000 -999.00000 680.00000 -999.00000 
0.10222 0.91440 -0.02836 -0.07182 541.87252 0.01715 270.27372 1.00000 -999.00000 680.00000 -999.00000 
0.10011 0.91440 -0.02808 -0.06892 544.07796 0.01806 270.29530 1.00000 -999.00000 680.00000 -999.00000 
0.09809 0.91440 -0.02780 -0.06604 546.21898 0.01895 270.31640 1.00000 -999.00000 680.00000 -999.00000 
0.09617 0.91440 -0.02754 -0.06312 548.27907 0.01983 270.33724 1.00000 -999.00000 680.00000 -999.00000 
0.09434 0.91440 -0.02728 -0.06026 550.23860 0.02067 270.35760 1.00000 -999.00000 680.00000 -999.00000 
0.09260 0.91440 -0.02702 -0.05740 552.11075 0.02148 270.37747 1.00000 -999.00000 680.00000 -999.00000 
0.09095 0.91440 -0.02678 -0.05461 553.89282 0.02228 270.39662 1.00000 -999.00000 680.00000 -999.00000 
0.08937 0.91440 -0.02654 -0.05179 555.51744 0.02307 270.41561 1.00000 -999.00000 680.00000 -999.00000 
0.08787 0.91440 -0.02631 -0.04987 557.27673 0.02382 270.43171 1.00000 -999.00000 680.00000 -999.00000 
0.08644 0.91440 -0.02609 -0.04605 560.33176 0.02456 271.30069 1.00000 -999.00000 680.00000 -999.00000 
0.08501 0.91440 -0.02586 -0.04204 563.27325 0.02532 272.65657 0.80183 -999.00000 680.00000 -999.00000 
0.08359 0.91440 -0.02563 -0.03997 564.97995 0.02608 273.15000 0.49521 -999.00000 680.00000 -999.00000 
0.08216 0.91440 -0.02540 -0.03700 566.87481 0.02685 273.15000 0.33595 -999.00000 680.00000 -999.00000 
0.08073 0.91440 -0.02516 -0.03385 569.08753 0.02764 273.15000 0.25566 -999.00000 680.00000 -999.00000 
0.07931 0.91440 -0.02492 -0.03056 571.38199 0.02845 273.15000 0.20690 -999.00000 680.00000 -999.00000 
0.07788 0.91440 -0.02467 -0.02712 573.71415 0.02928 273.15000 0.17406 -999.00000 680.00000 -999.00000 
0.07646 0.91440 -0.02442 -0.02357 576.07718 0.03012 273.15000 0.15041 -999.00000 680.00000 -999.00000 
0.07503 0.91440 -0.02417 -0.01988 578.47268 0.03098 273.15000 0.13255 -999.00000 680.00000 -999.00000 
0.07361 0.91440 -0.02391 -0.01606 580.89573 0.03186 273.15000 0.11858 -999.00000 680.00000 -999.00000 
0.07219 0.91440 -0.02365 -0.01210 583.34268 0.03276 273.15000 0.10736 -999.00000 680.00000 -999.00000 
0.07077 0.91440 -0.02339 -0.00801 585.81391 0.03367 273.15000 0.09814 -999.00000 680.00000 -999.00000 
0.06935 0.91440 -0.02312 -0.00376 588.30849 0.03461 273.15000 0.09043 -999.00000 680.00000 -999.00000 
0.06793 0.91440 -0.02284 0.00065 590.82151 0.03557 273.15000 0.08388 -999.00000 680.00000 -999.00000 
0.06651 0.91440 -0.02256 0.00524 593.34369 0.03655 273.15000 0.07825 -999.00000 680.00000 -999.00000 
0.06509 0.91440 -0.02228 0.01001 595.86524 0.03756 273.15000 0.07336 -999.00000 680.00000 -999.00000 
0.06367 0.91440 -0.02199 0.01497 598.37478 0.03859 273.15000 0.06907 -999.00000 680.00000 -999.00000 
0.06226 0.91440 -0.02169 0.02013 600.85663 0.03965 273.15000 0.06527 -999.00000 680.00000 -999.00000 
