VARIABLES = "CoordinateX" "CoordinateY" "CoordinateZ"
ZONE T="SLICE_Y_0p1"
 1.028093222E+00 1.000000000E-01 0.000000000E+00
 1.028086726E+00 1.000000000E-01 -8.349693269E-07
 1.028067216E+00 1.000000000E-01 -3.342606582E-06
 1.028034629E+00 1.000000000E-01 -7.531111594E-06
 1.027988858E+00 1.000000000E-01 -1.341419079E-05
 1.027929752E+00 1.000000000E-01 -2.101111731E-05
 1.027857118E+00 1.000000000E-01 -3.034681536E-05
 1.027770716E+00 1.000000000E-01 -4.145196879E-05
 1.027670261E+00 1.000000000E-01 -5.436315419E-05
 1.027555420E+00 1.000000000E-01 -6.912299845E-05
 1.027425811E+00 1.000000000E-01 -8.578036106E-05
 1.027281000E+00 1.000000000E-01 -1.043905410E-04
 1.027120501E+00 1.000000000E-01 -1.250155084E-04
 1.026943772E+00 1.000000000E-01 -1.477241602E-04
 1.026750213E+00 1.000000000E-01 -1.725926005E-04
 1.026539163E+00 1.000000000E-01 -1.997044435E-04
 1.026309896E+00 1.000000000E-01 -2.291511388E-04
 1.026061620E+00 1.000000000E-01 -2.610323178E-04
 1.025793470E+00 1.000000000E-01 -2.954561579E-04
 1.025504504E+00 1.000000000E-01 -3.325397628E-04
 1.025193701E+00 1.000000000E-01 -3.724095536E-04
 1.024859955E+00 1.000000000E-01 -4.152016664E-04
 1.024502067E+00 1.000000000E-01 -4.610623495E-04
 1.024118742E+00 1.000000000E-01 -5.101483505E-04
 1.023708584E+00 1.000000000E-01 -5.626272827E-04
 1.023270082E+00 1.000000000E-01 -6.186779562E-04
 1.022801613E+00 1.000000000E-01 -6.784906556E-04
 1.022301424E+00 1.000000000E-01 -7.422688365E-04
 1.021767631E+00 1.000000000E-01 -8.102356522E-04
 1.021198206E+00 1.000000000E-01 -8.826320715E-04
 1.020590968E+00 1.000000000E-01 -9.597164411E-04
 1.019943571E+00 1.000000000E-01 -1.041765629E-03
 1.019253496E+00 1.000000000E-01 -1.129076259E-03
 1.018518038E+00 1.000000000E-01 -1.221966042E-03
 1.017734290E+00 1.000000000E-01 -1.320775214E-03
 1.016899134E+00 1.000000000E-01 -1.425868104E-03
 1.016009223E+00 1.000000000E-01 -1.537634832E-03
 1.015060968E+00 1.000000000E-01 -1.656493172E-03
 1.014050521E+00 1.000000000E-01 -1.782890596E-03
 1.012973756E+00 1.000000000E-01 -1.917306532E-03
 1.011826257E+00 1.000000000E-01 -2.060254870E-03
 1.010603290E+00 1.000000000E-01 -2.212286773E-03
 1.009299793E+00 1.000000000E-01 -2.373993837E-03
 1.007910349E+00 1.000000000E-01 -2.546011681E-03
 1.006429166E+00 1.000000000E-01 -2.729024056E-03
 1.004850057E+00 1.000000000E-01 -2.923767577E-03
 1.003166418E+00 1.000000000E-01 -3.131037227E-03
 1.001371202E+00 1.000000000E-01 -3.351692792E-03
